,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Illan Meslier,GK,21.0,37.6,1392,1023,366.0,78.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.0,3.0,2.0,,,,,,,,,,,,,
1,Stuart Dallas,"DF,MF",30.0,32.4,1685,1355,322.0,45.0,7.0,9.0,101.0,224.0,53.0,35.0,11.0,1.0,1306.0,8.0,44.0,,,,,,,,,,,,,
2,Raphinha br,24,32.4,1301.0,1111,188,46.0,16.0,20.0,162.0,63.0,76.0,52.0,14.0,0.0,824.0,2.0,38.0,,,,,,,,,,,,,,
3,Jack Harrison,"FW,MF",24.0,29.3,1045,983,55.0,5.0,7.0,2.0,142.0,26.0,24.0,7.0,10.0,2.0,656.0,7.0,54.0,,,,,,,,,,,,,
4,Daniel James,"FW,MF",23.0,26.3,508,472,34.0,2.0,2.0,1.0,60.0,5.0,0.0,0.0,0.0,0.0,326.0,2.0,27.0,,,,,,,,,,,,,
5,Diego Llorente,DF,27.0,26.0,1373,1329,41.0,30.0,1.0,16.0,2.0,11.0,0.0,0.0,0.0,0.0,1115.0,3.0,20.0,,,,,,,,,,,,,
6,Rodrigo es,30,25.2,914.0,861,51,10.0,9.0,12.0,29.0,11.0,9.0,1.0,3.0,0.0,682.0,2.0,25.0,,,,,,,,,,,,,,
7,Luke Ayling,DF,29.0,25.2,1592,1412,171.0,36.0,5.0,24.0,31.0,134.0,0.0,0.0,0.0,0.0,1224.0,9.0,29.0,,,,,,,,,,,,,
8,Mateusz Klich,MF,31.0,23.0,1026,977,43.0,19.0,6.0,7.0,30.0,13.0,3.0,0.0,0.0,0.0,800.0,6.0,16.0,,,,,,,,,,,,,
9,Pascal Struijk,"DF,MF",21.0,22.8,1278,1219,56.0,35.0,1.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,1089.0,3.0,12.0,,,,,,,,,,,,,
10,Liam Cooper,DF,29.0,20.2,1183,1151,30.0,25.0,1.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,981.0,2.0,8.0,,,,,,,,,,,,,
11,Junior Firpo,"DF,MF",24.0,19.0,952,799,149.0,5.0,0.0,3.0,26.0,144.0,0.0,0.0,0.0,0.0,768.0,4.0,15.0,,,,,,,,,,,,,
12,Kalvin Phillips,MF,25.0,17.7,971,923,46.0,37.0,1.0,8.0,16.0,5.0,4.0,4.0,0.0,0.0,786.0,2.0,12.0,,,,,,,,,,,,,
13,Robin Koch,"MF,DF",25.0,17.5,718,693,24.0,9.0,0.0,5.0,4.0,15.0,0.0,0.0,0.0,0.0,555.0,1.0,10.0,,,,,,,,,,,,,
14,Adam Forshaw,MF,29.0,17.0,842,805,31.0,25.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,695.0,6.0,18.0,,,,,,,,,,,,,
15,Tyler Roberts,"MF,FW",22.0,11.0,300,283,16.0,2.0,1.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,214.0,1.0,11.0,,,,,,,,,,,,,
16,Jamie Shackleton,"DF,MF",21.0,7.9,409,347,62.0,3.0,0.0,0.0,4.0,59.0,0.0,0.0,0.0,0.0,353.0,0.0,6.0,,,,,,,,,,,,,
17,Patrick Bamford,FW,27.0,6.2,108,89,19.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,88.0,0.0,3.0,,,,,,,,,,,,,
18,Joe Gelhardt,"FW,MF",19.0,8.3,163,136,27.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,2.0,,,,,,,,,,,,,
19,Sam Greenwood,"MF,FW",19.0,2.6,80,75,4.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,54.0,1.0,2.0,,,,,,,,,,,,,
20,Lewis Bate,MF,18.0,1.6,61,60,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,3.0,,,,,,,,,,,,,
21,Charlie Cresswell,DF,18.0,1.6,106,104,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,1.0,,,,,,,,,,,,,
22,Cody Drameh,"DF,MF",19.0,1.4,82,55,27.0,2.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,62.0,0.0,5.0,,,,,,,,,,,,,
23,Crysencio Summerville,"MF,FW",19.0,1.4,70,69,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,3.0,,,,,,,,,,,,,
24,Kristoffer Klaesson,GK,20.0,0.4,11,8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,
25,Hélder Costa,MF,27.0,0.2,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,
26,Liam McCarron,FW,20.0,0.1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,
27,Stuart McKinstry,MF,18.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,
28,Squad Total,18288,16432.0,1793.0,417,66,140.0,648.0,798.0,170.0,100.0,38.0,3.0,13989.0,63.0,,,,,,,,,,,,,,,,,
29,Opponent Total,17052,15102.0,1897.0,498,100,92.0,568.0,829.0,181.0,86.0,79.0,3.0,13019.0,53.0,,,,,,,,,,,,,,,,,
30,Illan Meslier,GK,21,38,"3,384",89.0,98.9,37.6,38.0,89.0,37.0,0.0,0.0,1.0,39.0,79.0,-40.0,-1.06,-8.56,42.9,67.6,-24.7,-0.66,-3.76,,,,,,,,
31,Stuart Dallas,"DF,MF",30,34,"2,919",86.0,85.4,32.4,34.0,86.0,31.0,0.0,0.0,1.0,38.0,66.0,-28.0,-0.86,0.75,39.2,57.2,-18.0,-0.55,0.43,,,,,,,,
32,Raphinha br,24,35,"2,915",83,85.2,32.4,34.0,84.0,26.0,1.0,45.0,0.0,1.0,34.0,68.0,-34.0,-1.05,-0.52,37.2,57.5,-20.3,-0.63,-0.07,,,,,,,,
33,Jack Harrison,"FW,MF",24,35,"2,639",75.0,77.2,29.3,32.0,77.0,20.0,3.0,55.0,2.0,0.89,31.0,68.0,-37.0,-1.26,-1.26,30.9,56.1,-25.2,-0.86,-1.06,,,,,,,
34,Daniel James,"FW,MF",23,32,"2,366",74.0,69.2,26.3,29.0,78.0,18.0,3.0,33.0,0.0,1.0,31.0,48.0,-17.0,-0.65,1.06,32.0,44.7,-12.7,-0.48,0.44,,,,,,,
35,Diego Llorente,DF,27,28,"2,340",84.0,68.4,26.0,28.0,84.0,24.0,0.0,2.0,1.18,27.0,44.0,-17.0,-0.65,1.01,28.1,42.3,-14.2,-0.55,0.23,,,,,,,,
36,Rodrigo es,30,31,"2,265",73,66.2,25.2,27.0,78.0,16.0,4.0,37.0,2.0,1.06,25.0,37.0,-12.0,-0.48,1.47,28.1,41.2,-13.1,-0.52,0.29,,,,,,,,
