,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Kasper Schmeichel,GK,34,37.0,1294,859,431.0,139.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,945.0,4.0,0.0,,,,,,,,,,,,,
1,Youri Tielemans,MF,24,29.2,1785,1683,95.0,49.0,12.0,21.0,56.0,14.0,26.0,14.0,7.0,0.0,1451.0,7.0,27.0,,,,,,,,,,,,,
2,Çağlar Söyüncü,DF,25,27.7,1935,1877,52.0,44.0,2.0,16.0,5.0,4.0,0.0,0.0,0.0,0.0,1630.0,6.0,11.0,,,,,,,,,,,,,
3,James Maddison,"MF,FW",24,27.3,1089,941,143.0,48.0,14.0,8.0,124.0,5.0,79.0,43.0,23.0,1.0,796.0,5.0,28.0,,,,,,,,,,,,,
4,Harvey Barnes,"FW,MF",23,23.3,756,747,7.0,0.0,7.0,2.0,45.0,5.0,0.0,0.0,0.0,0.0,550.0,2.0,24.0,,,,,,,,,,,,,
5,Daniel Amartey,DF,26,23.6,1546,1516,28.0,19.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1399.0,2.0,16.0,,,,,,,,,,,,,
6,Kiernan Dewsbury-Hall,MF,22,23.4,1250,1193,51.0,12.0,5.0,8.0,86.0,10.0,26.0,21.0,0.0,0.0,950.0,6.0,31.0,,,,,,,,,,,,,
7,Timothy Castagne,DF,25,23.6,1330,1132,195.0,10.0,0.0,1.0,40.0,185.0,0.0,0.0,0.0,0.0,1077.0,3.0,21.0,,,,,,,,,,,,,
8,Luke Thomas,DF,20,21.2,1272,1040,231.0,12.0,3.0,1.0,33.0,217.0,2.0,1.0,1.0,0.0,1007.0,1.0,36.0,,,,,,,,,,,,,
9,Jamie Vardy,FW,34,20.1,265,225,38.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,184.0,2.0,10.0,,,,,,,,,,,,,
10,Wilfred Ndidi,"MF,DF",24,18.0,935,914,18.0,16.0,2.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,746.0,3.0,19.0,,,,,,,,,,,,,
11,Ademola Lookman,"FW,MF",23,16.1,536,510,21.0,5.0,3.0,1.0,18.0,6.0,4.0,2.0,1.0,0.0,405.0,5.0,26.0,,,,,,,,,,,,,
12,Jonny Evans,DF,33,15.0,1020,974,44.0,36.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,846.0,2.0,3.0,,,,,,,,,,,,,
13,Kelechi Iheanacho,FW,24,14.0,361,343,16.0,1.0,10.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,276.0,2.0,16.0,,,,,,,,,,,,,
14,Patson Daka,FW,22,12.9,223,204,19.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,165.0,0.0,9.0,,,,,,,,,,,,,
15,Ricardo Pereira,DF,27,11.0,655,549,106.0,3.0,0.0,1.0,14.0,103.0,0.0,0.0,0.0,0.0,519.0,0.0,23.0,,,,,,,,,,,,,
16,Boubakary Soumaré,MF,22,12.2,542,539,2.0,1.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,444.0,1.0,6.0,,,,,,,,,,,,,
17,Nampalys Mendy,MF,29,11.5,645,633,12.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,0.0,6.0,,,,,,,,,,,,,
18,Marc Albrighton,"FW,DF",31,12.6,558,452,101.0,15.0,2.0,3.0,78.0,48.0,37.0,27.0,6.0,0.0,347.0,5.0,27.0,,,,,,,,,,,,,
19,James Justin,DF,23,11.1,677,565,110.0,8.0,0.0,4.0,15.0,102.0,0.0,0.0,0.0,0.0,540.0,2.0,18.0,,,,,,,,,,,,,
20,Wesley Fofana,DF,20,7.0,528,520,8.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,470.0,0.0,4.0,,,,,,,,,,,,,
