,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Alisson br,29,37.0,1453.0,1199,250,57.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.0,4.0,1.0,,,,,,,,,,,,,,
1,Mohamed Salah,FW,30.0,36.6,1185,1146,29.0,4.0,14.0,3.0,38.0,17.0,0.0,0.0,0.0,0.0,902.0,10.0,40.0,,,,,,,,,,,,,
2,Trent Alexander-Arnold,DF,23.0,32.5,2912,2393,509.0,70.0,26.0,59.0,252.0,341.0,98.0,16.0,74.0,1.0,2188.0,10.0,37.0,,,,,,,,,,,,,
3,Fabinho br,28,29.7,1832.0,1789,38,31.0,5.0,6.0,5.0,7.0,0.0,0.0,0.0,0.0,1617.0,5.0,18.0,,,,,,,,,,,,,,
4,Andrew Robertson,DF,28.0,28.7,2265,1883,375.0,65.0,2.0,12.0,195.0,229.0,81.0,23.0,49.0,0.0,1803.0,7.0,41.0,,,,,,,,,,,,,
5,Jordan Henderson,MF,32.0,23.0,1615,1554,53.0,12.0,9.0,11.0,45.0,17.0,0.0,0.0,0.0,0.0,1341.0,8.0,32.0,,,,,,,,,,,,,
6,Darwin Núñez,FW,23.0,18.8,401,386,11.0,0.0,2.0,8.0,18.0,8.0,1.0,0.0,0.0,0.0,258.0,4.0,22.0,,,,,,,,,,,,,
7,Harvey Elliott,"MF,FW",19.0,17.9,1009,962,39.0,0.0,8.0,4.0,34.0,10.0,2.0,1.0,0.0,0.0,809.0,8.0,24.0,,,,,,,,,,,,,
8,Ibrahima Konaté,DF,23.0,17.2,1135,1115,19.0,16.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,988.0,1.0,5.0,,,,,,,,,,,,,
9,Cody Gakpo,"FW,MF",23.0,16.2,392,381,9.0,0.0,3.0,0.0,17.0,2.0,4.0,3.0,0.0,0.0,293.0,2.0,11.0,,,,,,,,,,,,,
10,Joe Gomez,DF,25.0,16.3,1361,1316,39.0,6.0,2.0,11.0,4.0,30.0,0.0,0.0,0.0,0.0,1166.0,6.0,5.0,,,,,,,,,,,,,
11,Thiago Alcántara,MF,31.0,13.9,1097,1063,31.0,23.0,8.0,15.0,3.0,6.0,0.0,0.0,0.0,0.0,946.0,3.0,22.0,,,,,,,,,,,,,
12,Roberto Firmino,"FW,MF",30.0,13.5,566,548,16.0,1.0,8.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,444.0,2.0,21.0,,,,,,,,,,,,,
13,Diogo Jota,FW,25.0,12.6,381,379,2.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,14.0,,,,,,,,,,,,,
14,Joël Matip,DF,30.0,12.1,885,873,11.0,7.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,766.0,1.0,5.0,,,,,,,,,,,,,
15,Curtis Jones,MF,21.0,11.5,677,664,12.0,2.0,5.0,3.0,9.0,9.0,0.0,0.0,0.0,0.0,611.0,1.0,7.0,,,,,,,,,,,,,
16,Luis Díaz,FW,25.0,11.1,462,453,7.0,0.0,0.0,7.0,8.0,6.0,1.0,0.0,0.0,0.0,376.0,2.0,15.0,,,,,,,,,,,,,
17,Kostas Tsimikas,DF,26.0,8.6,618,470,146.0,23.0,1.0,2.0,85.0,87.0,36.0,11.0,23.0,0.0,474.0,2.0,9.0,,,,,,,,,,,,,
18,James Milner,"MF,DF",36.0,10.1,727,625,99.0,20.0,2.0,4.0,52.0,65.0,12.0,2.0,9.0,0.0,563.0,3.0,24.0,,,,,,,,,,,,,
19,Stefan Bajcetic,MF,17.0,5.8,258,255,3.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,6.0,,,,,,,,,,,,,
20,Fabio Carvalho,"MF,FW",19.0,3.9,143,140,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,117.0,1.0,3.0,,,,,,,,,,,,,
21,Alex Oxlade-Chamberlain,"FW,MF",28.0,3.7,106,102,2.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,75.0,2.0,4.0,,,,,,,,,,,,,
22,Naby Keïta,MF,27.0,3.3,168,161,6.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,129.0,1.0,7.0,,,,,,,,,,,,,
23,Caoimhín Kelleher,GK,23.0,1.0,24,22,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,,,,,,,,,,,,,
24,Nathaniel Phillips,DF,25.0,0.7,82,80,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,,,,,,,,,,,,,
25,Ben Doak,FW,16.0,0.3,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,,,,,,,,,,,,,
26,Bobby Clark,MF,17.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
27,Squad Total,24361,22466.0,1811.0,416,103,198.0,799.0,860.0,235.0,56.0,155.0,1.0,20043.0,84.0,,,,,,,,,,,,,,,,,
28,Opponent Total,15970,14167.0,1715.0,466,76,122.0,515.0,677.0,134.0,75.0,34.0,1.0,11949.0,88.0,,,,,,,,,,,,,,,,,
29,Alisson br,29,37,"3,330",90,97.4,37.0,37.0,90.0,37.0,0.0,0.0,1.78,71.0,43.0,28.0,0.76,0.76,68.6,49.1,19.5,0.53,-1.64,,,,,,,,,
30,Mohamed Salah,FW,30,38,"3,290",87,96.2,36.6,37.0,88.0,29.0,1.0,26.0,0.0,1.76,74.0,45.0,29.0,0.79,1.49,70.6,46.8,23.8,0.65,2.12,,,,,,,
31,Trent Alexander-Arnold,DF,23,37,"2,923",79,85.5,32.5,34.0,85.0,23.0,3.0,16.0,1.0,1.78,70.0,44.0,26.0,0.8,0.44,64.2,42.6,21.6,0.66,0.65,,,,,,,
32,Virgil van,NED,DF,31,32,"2,835",89.0,82.9,31.5,32.0,89.0,31.0,0.0,1.0,1.91,68.0,36.0,32.0,1.02,1.63,60.9,40.5,20.4,0.65,0.45,,,,,,,
33,Fabinho br,28,36,"2,671",74,78.1,29.7,31.0,82.0,20.0,5.0,23.0,0.0,1.78,59.0,34.0,25.0,0.84,0.48,52.7,38.4,14.3,0.48,-0.4,,,,,,,,
34,Andrew Robertson,DF,28,34,"2,583",76,75.5,28.7,29.0,84.0,19.0,5.0,27.0,1.0,1.82,58.0,34.0,24.0,0.84,0.41,54.9,36.4,18.5,0.65,0.31,,,,,,,
35,Jordan Henderson,MF,32,35,"2,074",59,60.6,23.0,23.0,78.0,10.0,12.0,23.0,0.0,1.8,48.0,30.0,18.0,0.78,0.11,44.0,31.6,12.4,0.54,-0.08,,,,,,,
