,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Ederson br,24,38.0,1112.0,860,248,59.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,4.0,1.0,,,,,,,,,,,,,,
1,Aymeric Laporte,DF,24.0,34.0,3053,2974,69.0,30.0,0.0,53.0,6.0,39.0,0.0,0.0,0.0,0.0,2804.0,10.0,7.0,,,,,,,,,,,,,
2,Bernardo Silva,"MF,FW",23.0,31.7,1818,1726,85.0,23.0,10.0,17.0,70.0,35.0,25.0,3.0,3.0,0.0,1515.0,7.0,44.0,,,,,,,,,,,,,
3,Raheem Sterling,FW,23.0,30.8,1355,1313,37.0,6.0,6.0,3.0,75.0,12.0,19.0,6.0,7.0,0.0,1107.0,5.0,39.0,,,,,,,,,,,,,
4,Sergio Agüero,FW,30.0,27.3,796,740,52.0,1.0,6.0,1.0,13.0,8.0,1.0,0.0,0.0,0.0,661.0,4.0,27.0,,,,,,,,,,,,,
5,Kyle Walker,DF,28.0,30.9,2648,2419,222.0,28.0,4.0,46.0,59.0,193.0,1.0,0.0,0.0,0.0,2327.0,7.0,35.0,,,,,,,,,,,,,
6,David Silva,MF,32.0,26.7,2108,2038,59.0,26.0,18.0,7.0,75.0,7.0,23.0,3.0,18.0,0.0,1795.0,11.0,29.0,,,,,,,,,,,,,
7,Fernandinho br,33,26.4,2070.0,2020,40,34.0,13.0,13.0,4.0,6.0,0.0,0.0,0.0,0.0,1799.0,10.0,25.0,,,,,,,,,,,,,,
8,İlkay Gündoğan,MF,27.0,23.7,2108,1974,123.0,37.0,17.0,9.0,98.0,5.0,81.0,34.0,31.0,0.0,1845.0,11.0,14.0,,,,,,,,,,,,,
9,Leroy Sané,FW,22.0,20.7,955,892,58.0,3.0,7.0,2.0,98.0,5.0,50.0,2.0,39.0,0.0,735.0,5.0,35.0,,,,,,,,,,,,,
10,John Stones,DF,24.0,19.6,1766,1738,28.0,15.0,0.0,23.0,2.0,13.0,0.0,0.0,0.0,0.0,1663.0,0.0,5.0,,,,,,,,,,,,,
11,Riyad Mahrez,"FW,MF",27.0,14.9,884,815,67.0,11.0,11.0,10.0,73.0,11.0,44.0,18.0,7.0,0.0,700.0,2.0,24.0,,,,,,,,,,,,,
12,Nicolás Otamendi,DF,30.0,13.7,1252,1230,21.0,16.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,1157.0,1.0,5.0,,,,,,,,,,,,,
13,Oleksandr Zinchenko,DF,21.0,12.8,1352,1212,139.0,11.0,2.0,7.0,39.0,128.0,0.0,0.0,0.0,0.0,1215.0,1.0,16.0,,,,,,,,,,,,,
14,Vincent Kompany,DF,32.0,13.6,1229,1223,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.0,2.0,3.0,,,,,,,,,,,,,
15,Benjamin Mendy,DF,24.0,10.0,804,694,110.0,7.0,2.0,3.0,51.0,103.0,0.0,0.0,0.0,0.0,674.0,0.0,17.0,,,,,,,,,,,,,
16,Danilo br,27,9.0,880.0,773,102,6.0,0.0,2.0,12.0,96.0,0.0,0.0,0.0,0.0,762.0,5.0,11.0,,,,,,,,,,,,,,
17,Gabriel Jesus,FW,21.0,11.5,362,348,13.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,294.0,1.0,12.0,,,,,,,,,,,,,
18,Fabian Delph,DF,28.0,8.1,766,695,71.0,6.0,0.0,8.0,8.0,65.0,0.0,0.0,0.0,0.0,700.0,0.0,9.0,,,,,,,,,,,,,
19,Phil Foden,MF,18.0,3.7,237,232,4.0,0.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,202.0,1.0,4.0,,,,,,,,,,,,,
20,Squad Total,28389,26660.0,1631.0,344,112,226.0,783.0,739.0,298.0,85.0,121.0,1.0,24678.0,98.0,,,,,,,,,,,,,,,,,
21,Opponent Total,13564,11859.0,1643.0,407,29,129.0,359.0,615.0,82.0,39.0,28.0,6.0,9950.0,62.0,,,,,,,,,,,,,,,,,
22,Ederson br,24,38,"3,420",90,100.0,38.0,38.0,90.0,38.0,0.0,0.0,2.58,95.0,23.0,72.0,1.89,84.3,24.7,59.6,1.57,,,,,,,,,,,
23,Aymeric Laporte,DF,24,35,"3,057",87.0,89.4,34.0,34.0,90.0,33.0,1.0,1.0,1.0,2.54,88.0,21.0,67.0,1.97,0.73,73.2,22.5,50.7,1.49,-0.7,,,,,,,
24,Bernardo Silva,"MF,FW",23,36,"2,854",79.0,83.5,31.7,31.0,88.0,27.0,5.0,27.0,1.0,2.56,78.0,22.0,56.0,1.77,-0.78,69.6,22.3,47.3,1.49,-0.46,,,,,,,
25,Raheem Sterling,FW,23,34,"2,771",82.0,81.0,30.8,31.0,86.0,22.0,3.0,30.0,4.0,2.53,75.0,19.0,56.0,1.82,-0.4,63.2,19.7,43.4,1.41,-0.84,,,,,,,
26,Sergio Agüero,FW,30,33,"2,459",75.0,71.9,27.3,31.0,78.0,8.0,2.0,27.0,1.0,2.61,72.0,15.0,57.0,2.09,0.68,58.9,17.7,41.2,1.51,-0.22,,,,,,,
27,Kyle Walker,DF,28,33,"2,779",84.0,81.3,30.9,30.0,90.0,29.0,3.0,26.0,4.0,2.61,73.0,17.0,56.0,1.81,-0.43,65.2,19.9,45.3,1.47,-0.54,,,,,,,
28,David Silva,MF,32,33,"2,401",73.0,70.2,26.7,28.0,83.0,13.0,5.0,17.0,2.0,2.61,60.0,14.0,46.0,1.72,-0.57,57.0,15.5,41.5,1.56,-0.04,,,,,,,
29,Fernandinho br,33,29,"2,377",82,69.5,26.4,27.0,86.0,21.0,2.0,34.0,0.0,2.66,70.0,15.0,55.0,2.08,0.62,61.2,18.4,42.8,1.62,0.17,,,,,,,,
30,İlkay Gündoğan,MF,27,31,"2,137",69.0,62.5,23.7,23.0,87.0,17.0,8.0,17.0,1.0,2.55,60.0,15.0,45.0,1.9,0.0,50.6,14.9,35.7,1.5,-0.17,,,,,,,
31,Leroy Sané,FW,22,31,"1,867",60.0,54.6,20.7,21.0,79.0,11.0,10.0,20.0,6.0,2.48,54.0,14.0,40.0,1.93,0.07,49.8,14.2,35.7,1.72,0.34,,,,,,,
32,John Stones,DF,24,24,"1,764",74.0,51.6,19.6,20.0,87.0,18.0,4.0,7.0,10.0,2.42,48.0,15.0,33.0,1.68,-0.44,41.5,14.9,26.7,1.36,-0.43,,,,,,,
33,Riyad Mahrez,"FW,MF",27,27,"1,343",50.0,39.3,14.9,14.0,81.0,5.0,13.0,16.0,10.0,2.52,36.0,9.0,27.0,1.81,-0.14,34.0,8.1,25.9,1.74,0.27,,,,,,,
34,Nicolás Otamendi,DF,30,18,"1,236",69.0,36.1,13.7,14.0,87.0,13.0,4.0,3.0,17.0,2.83,36.0,7.0,29.0,2.11,0.34,35.2,7.5,27.6,2.01,0.7,,,,,,,
35,Oleksandr Zinchenko,DF,21,14,"1,151",82.0,33.7,12.8,14.0,82.0,12.0,0.0,7.0,3.0,29.0,4.0,25.0,1.95,0.09,27.3,5.4,22.0,1.72,0.22,,,,,,,,
36,Vincent Kompany,DF,32,17,"1,224",72.0,35.8,13.6,13.0,89.0,10.0,4.0,17.0,9.0,2.88,36.0,7.0,29.0,2.13,0.37,31.8,7.4,24.4,1.8,0.35,,,,,,,
37,Benjamin Mendy,DF,24,10,900,90.0,26.3,10.0,10.0,90.0,10.0,0.0,1.0,2.6,29.0,6.0,23.0,2.3,0.55,22.7,7.2,15.5,1.55,-0.03,,,,,,,,
38,Danilo br,27,11,807,73,23.6,9.0,9.0,89.0,8.0,2.0,2.0,15.0,2.45,19.0,7.0,12.0,1.34,-0.73,20.2,6.2,14.0,1.56,-0.01,,,,,,,,
39,Gabriel Jesus,FW,21,29,"1,036",36.0,30.3,11.5,8.0,85.0,4.0,21.0,17.0,7.0,2.55,28.0,11.0,17.0,1.48,-0.6,28.5,8.8,19.7,1.71,0.2,,,,,,,
40,Fabian Delph,DF,28,11,725,66.0,21.2,8.1,8.0,84.0,5.0,3.0,19.0,6.0,2.18,22.0,9.0,13.0,1.61,-0.36,18.9,8.4,10.5,1.3,-0.34,,,,,,,
41,Phil Foden,MF,18,13,335,26.0,9.8,3.7,3.0,80.0,1.0,10.0,10.0,16.0,2.77,9.0,0.0,9.0,2.42,0.58,9.6,2.0,7.6,2.03,0.51,,,,,,,
42,Claudio Bravo,GK,35,0,0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
43,Arijanet Muric,GK,19,0,0,0.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
44,Philippe Sandler,DF,21,0,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
45,Squad Total,"3,420",90,100,38.0,418.0,86.0,108.0,17.0,158.0,2.58,95.0,23.0,72.0,1.89,84.3,24.7,59.6,,,,,,,,,,,,,,
46,Opponent Total,"3,420",90,100,38.0,418.0,86.0,107.0,21.0,159.0,0.37,23.0,95.0,-72.0,-1.89,24.7,84.3,-59.6,,,,,,,,,,,,,,
47,Ederson br,24,38,38.0,"3,420",38.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,
48,Aymeric Laporte,DF,24,35.0,34,"3,057",34.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.8,3.8,94.0,294.0,9.0,0.09,0.09,0.18,0.09,0.18,0.09,0.02,0.11,0.09,0.11
49,Bernardo Silva,"MF,FW",23,36.0,31,"2,854",31.7,7.0,7.0,14.0,7.0,0.0,0.0,3.0,0.0,7.4,7.4,7.8,15.2,152.0,156.0,277.0,0.22,0.22,0.44,0.22,0.44,0.23,0.25,0.48,0.23,0.48
50,Raheem Sterling,FW,23,34.0,31,"2,771",30.8,17.0,9.0,26.0,17.0,0.0,0.0,3.0,0.0,13.7,13.7,9.6,23.3,155.0,87.0,436.0,0.55,0.29,0.84,0.55,0.84,0.44,0.31,0.76,0.44,0.76
51,Sergio Agüero,FW,30,33.0,31,"2,459",27.3,21.0,8.0,29.0,19.0,2.0,2.0,4.0,0.0,18.1,16.5,5.0,21.5,81.0,76.0,253.0,0.77,0.29,1.06,0.7,0.99,0.66,0.18,0.85,0.6,0.79
52,Kyle Walker,DF,28,33.0,30,"2,779",30.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.9,2.7,83.0,220.0,92.0,0.03,0.03,0.06,0.03,0.06,0.03,0.06,0.09,0.03,0.09
53,David Silva,MF,32,33.0,28,"2,401",26.7,6.0,8.0,14.0,6.0,0.0,0.0,2.0,0.0,7.8,7.8,8.5,16.3,118.0,270.0,222.0,0.22,0.3,0.52,0.22,0.52,0.29,0.32,0.61,0.29,0.61
54,Fernandinho br,33,29,27.0,"2,377",26.4,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,1.6,1.6,3.0,4.5,58.0,236.0,29.0,0.04,0.11,0.15,0.04,0.15,0.06,0.11,0.17,0.06,0.17,
55,İlkay Gündoğan,MF,27,31.0,23,"2,137",23.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,4.1,4.1,4.3,8.4,82.0,205.0,91.0,0.25,0.13,0.38,0.25,0.38,0.17,0.18,0.35,0.17,0.35
56,Leroy Sané,FW,22,31.0,21,"1,867",20.7,10.0,10.0,20.0,10.0,0.0,0.0,1.0,0.0,6.7,6.7,7.4,14.1,84.0,67.0,341.0,0.48,0.48,0.96,0.48,0.96,0.32,0.36,0.68,0.32,0.68
57,John Stones,DF,24,24.0,20,"1,764",19.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.6,44.0,118.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
58,Riyad Mahrez,"FW,MF",27,27.0,14,"1,343",14.9,7.0,4.0,11.0,7.0,0.0,1.0,0.0,0.0,5.5,4.7,4.6,9.3,87.0,73.0,191.0,0.47,0.27,0.74,0.47,0.74,0.37,0.31,0.68,0.32,0.62
59,Nicolás Otamendi,DF,30,18.0,14,"1,236",13.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,0.2,1.5,27.0,92.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11
