,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Bruno Fernandes,MF,25.0,34.4,2338,2097,220.0,63.0,12.0,43.0,166.0,40.0,59.0,27.0,21.0,2.0,1733.0,21.0,68.0,,,,,,,,,,,,,
1,Aaron Wan-Bissaka,DF,22.0,34.0,2147,1854,288.0,11.0,0.0,2.0,60.0,277.0,0.0,0.0,0.0,0.0,1805.0,5.0,46.0,,,,,,,,,,,,,
2,Harry Maguire,DF,27.0,33.9,2250,2169,74.0,61.0,0.0,31.0,3.0,13.0,0.0,0.0,0.0,0.0,1958.0,7.0,9.0,,,,,,,,,,,,,
3,Marcus Rashford,FW,22.0,32.4,1248,1216,28.0,3.0,1.0,13.0,36.0,19.0,1.0,0.0,1.0,0.0,1001.0,4.0,37.0,,,,,,,,,,,,,
4,Luke Shaw,DF,25.0,29.5,2068,1674,386.0,27.0,0.0,2.0,189.0,262.0,97.0,49.0,42.0,0.0,1650.0,8.0,54.0,,,,,,,,,,,,,
5,Victor Lindelöf,DF,26.0,28.7,1882,1832,49.0,34.0,1.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0,1686.0,1.0,9.0,,,,,,,,,,,,,
6,Fred br,27,26.6,1828.0,1765,58,50.0,5.0,15.0,9.0,8.0,0.0,0.0,0.0,0.0,1590.0,5.0,41.0,,,,,,,,,,,,,,
7,Scott McTominay,MF,23.0,23.7,1320,1278,40.0,32.0,0.0,23.0,12.0,8.0,0.0,0.0,0.0,0.0,1139.0,2.0,18.0,,,,,,,,,,,,,
8,Paul Pogba,"MF,FW",27.0,21.1,1367,1328,31.0,27.0,4.0,41.0,22.0,4.0,0.0,0.0,0.0,0.0,1112.0,8.0,23.0,,,,,,,,,,,,,
9,Mason Greenwood,FW,18.0,20.2,747,737,9.0,2.0,2.0,11.0,30.0,2.0,4.0,0.0,0.0,0.0,614.0,1.0,14.0,,,,,,,,,,,,,
10,Anthony Martial,FW,24.0,16.4,492,484,7.0,1.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,409.0,1.0,15.0,,,,,,,,,,,,,
11,Edinson Cavani,FW,33.0,15.3,343,333,10.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,264.0,0.0,11.0,,,,,,,,,,,,,
12,Dean Henderson,GK,23.0,12.5,324,212,112.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,1.0,,,,,,,,,,,,,
13,Nemanja Matić,MF,31.0,12.3,1026,984,39.0,36.0,1.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,921.0,3.0,7.0,,,,,,,,,,,,,
14,Daniel James,FW,22.0,10.1,312,306,4.0,2.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,238.0,2.0,13.0,,,,,,,,,,,,,
15,Eric Bailly,DF,26.0,10.2,564,552,11.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,497.0,1.0,3.0,,,,,,,,,,,,,
16,Alex Telles,DF,27.0,7.7,584,477,106.0,8.0,1.0,2.0,55.0,70.0,28.0,5.0,18.0,1.0,467.0,1.0,5.0,,,,,,,,,,,,,
17,Juan Mata,"FW,MF",32.0,5.7,300,283,16.0,5.0,2.0,3.0,13.0,0.0,8.0,2.0,5.0,1.0,249.0,1.0,7.0,,,,,,,,,,,,,
