,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Kieran Trippier,DF,31.0,37.1,2788,2061,714.0,180.0,16.0,16.0,393.0,318.0,216.0,93.0,82.0,15.0,1995.0,13.0,50.0,,,,,,,,,,,,,
1,Nick Pope,GK,30.0,36.2,890,612,278.0,71.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,1.0,,,,,,,,,,,,,
2,Fabian Schär,DF,30.0,35.6,1846,1770,73.0,62.0,7.0,34.0,18.0,10.0,0.0,0.0,0.0,0.0,1423.0,3.0,19.0,,,,,,,,,,,,,
3,Sven Botman,DF,22.0,34.7,1765,1717,42.0,32.0,0.0,30.0,1.0,4.0,0.0,0.0,0.0,0.0,1527.0,6.0,7.0,,,,,,,,,,,,,
4,Dan Burn,DF,30.0,34.6,1715,1437,275.0,17.0,0.0,7.0,17.0,257.0,0.0,0.0,0.0,0.0,1361.0,3.0,29.0,,,,,,,,,,,,,
5,Bruno Guimarães,MF,24.0,30.3,1668,1617,42.0,34.0,25.0,20.0,22.0,5.0,3.0,0.0,0.0,0.0,1387.0,9.0,29.0,,,,,,,,,,,,,
6,Joe Willock,MF,22.0,28.4,951,922,25.0,3.0,4.0,3.0,51.0,8.0,0.0,0.0,0.0,0.0,777.0,4.0,18.0,,,,,,,,,,,,,
7,Joelinton br,25,29.6,1268.0,1227,38,14.0,3.0,4.0,16.0,19.0,4.0,0.0,0.0,0.0,1035.0,3.0,40.0,,,,,,,,,,,,,,
8,Miguel Almirón,FW,28.0,27.7,982,946,30.0,0.0,3.0,4.0,26.0,18.0,11.0,0.0,0.0,0.0,811.0,6.0,29.0,,,,,,,,,,,,,
9,Sean Longstaff,MF,24.0,28.0,1163,1118,41.0,7.0,7.0,6.0,30.0,4.0,3.0,0.0,0.0,0.0,943.0,4.0,31.0,,,,,,,,,,,,,
10,Callum Wilson,FW,30.0,20.9,242,234,7.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,23.0,,,,,,,,,,,,,
11,Alexander Isak,FW,22.0,16.9,368,338,25.0,1.0,8.0,2.0,7.0,4.0,1.0,0.0,0.0,0.0,279.0,5.0,12.0,,,,,,,,,,,,,
12,Jacob Murphy,FW,27.0,13.9,448,428,18.0,0.0,6.0,2.0,53.0,10.0,7.0,1.0,0.0,0.0,296.0,2.0,31.0,,,,,,,,,,,,,
13,Allan Saint-Maximin,FW,25.0,12.4,447,435,9.0,1.0,4.0,3.0,32.0,7.0,1.0,0.0,0.0,0.0,316.0,3.0,17.0,,,,,,,,,,,,,
14,Matt Targett,DF,26.0,6.8,419,327,91.0,17.0,0.0,3.0,34.0,56.0,18.0,10.0,7.0,0.0,326.0,1.0,11.0,,,,,,,,,,,,,
15,Anthony Gordon,"FW,MF",21.0,5.4,198,191,4.0,1.0,2.0,0.0,9.0,1.0,2.0,2.0,0.0,0.0,162.0,3.0,4.0,,,,,,,,,,,,,
16,Chris Wood,FW,30.0,5.0,106,105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,,,,,,,,,,,,,
17,Elliot Anderson,"MF,FW",19.0,4.6,198,193,3.0,0.0,1.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,150.0,2.0,10.0,,,,,,,,,,,,,
18,Ryan Fraser,FW,28.0,3.5,122,112,7.0,2.0,0.0,0.0,13.0,2.0,3.0,0.0,1.0,0.0,85.0,3.0,4.0,,,,,,,,,,,,,
19,Jamaal Lascelles,DF,28.0,2.4,93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,,,,,,,,,,,,,
20,Martin Dúbravka,GK,33.0,1.7,54,38,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,,,,,,,,,,,,,
21,Matt Ritchie,"FW,MF",32.0,0.4,31,31,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,,,,,,,,,,,,,
22,Javier Manquillo,DF,28.0,0.4,29,25,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,,,,,,,,,,,,,
23,Jonjo Shelvey,MF,30.0,0.4,26,23,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,,,,,,,,,,,,,
24,Lewis Miley,MF,16.0,0.2,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,
25,Jamal Lewis,"DF,FW",24.0,0.1,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,,,,,,,,,,,,,
26,Emil Krafth,DF,27.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
27,Squad Total,17837,16020.0,1746.0,447,88,142.0,740.0,728.0,270.0,106.0,90.0,15.0,13925.0,71.0,,,,,,,,,,,,,,,,,
28,Opponent Total,16389,14572.0,1761.0,460,49,116.0,564.0,717.0,162.0,76.0,52.0,2.0,12444.0,56.0,,,,,,,,,,,,,,,,,
29,Kieran Trippier,DF,31,38,"3,341",88.0,97.7,37.1,38.0,88.0,31.0,0.0,0.0,1.87,65.0,31.0,34.0,0.92,-0.22,70.5,37.6,32.8,0.88,1.37,,,,,,,,
30,Nick Pope,GK,30,37,"3,261",88.0,95.4,36.2,37.0,88.0,36.0,0.0,0.0,1.89,67.0,32.0,35.0,0.97,0.97,68.5,36.4,32.1,0.89,0.71,,,,,,,,
31,Fabian Schär,DF,30,36,"3,206",89.0,93.7,35.6,36.0,89.0,32.0,0.0,1.0,1.97,67.0,28.0,39.0,1.09,2.78,69.8,35.7,34.2,0.96,1.7,,,,,,,,
32,Sven Botman,DF,22,36,"3,127",87.0,91.4,34.7,35.0,89.0,33.0,1.0,1.0,2.0,1.94,64.0,30.0,34.0,0.98,0.67,66.8,37.1,29.7,0.86,0.03,,,,,,,
33,Dan Burn,DF,30,38,"3,111",82.0,91.0,34.6,35.0,87.0,27.0,3.0,17.0,0.0,1.87,64.0,30.0,34.0,0.98,0.69,66.2,35.2,31.0,0.9,0.48,,,,,,,
34,Bruno Guimarães,MF,24,32,"2,726",85.0,79.7,30.3,32.0,85.0,23.0,0.0,0.0,2.09,61.0,25.0,36.0,1.19,1.32,59.3,29.8,29.4,0.97,0.59,,,,,,,,
35,Joe Willock,MF,22,35,"2,558",73.0,74.8,28.4,31.0,79.0,8.0,4.0,28.0,0.0,1.97,56.0,26.0,30.0,1.06,0.53,53.4,29.1,24.3,0.85,0.01,,,,,,,
36,Joelinton br,25,32,"2,661",83,77.8,29.6,30.0,87.0,25.0,2.0,24.0,1.0,1.78,51.0,26.0,25.0,0.85,-0.34,55.2,31.6,23.6,0.8,-0.24,,,,,,,,
37,Miguel Almirón,FW,28,34,"2,491",73.0,72.8,27.7,29.0,81.0,6.0,5.0,26.0,0.0,1.74,43.0,22.0,21.0,0.76,-0.6,45.9,27.5,18.3,0.66,-0.7,,,,,,,
38,Sean Longstaff,MF,24,33,"2,518",76.0,73.6,28.0,28.0,87.0,24.0,5.0,18.0,0.0,1.91,48.0,18.0,30.0,1.07,0.57,50.6,26.6,24.0,0.86,0.02,,,,,,,
39,Callum Wilson,FW,30,31,"1,877",61.0,54.9,20.9,21.0,76.0,2.0,10.0,28.0,1.0,1.97,44.0,16.0,28.0,1.34,0.93,41.1,22.0,19.1,0.92,0.14,,,,,,,
40,Alexander Isak,FW,22,22,"1,522",69.0,44.5,16.9,17.0,83.0,7.0,5.0,23.0,0.0,1.68,29.0,20.0,9.0,0.53,-0.7,37.6,17.9,19.7,1.16,0.56,,,,,,,
41,Jacob Murphy,FW,27,36,"1,251",35.0,36.6,13.9,14.0,67.0,1.0,22.0,14.0,1.0,1.86,29.0,12.0,17.0,1.22,0.48,28.4,16.1,12.2,0.88,0.04,,,,,,,
42,Allan Saint-Maximin,FW,25,25,"1,120",45.0,32.7,12.4,12.0,75.0,2.0,13.0,17.0,1.0,1.76,19.0,14.0,5.0,0.4,-0.77,22.7,13.1,9.7,0.78,-0.11,,,,,,,
43,Matt Targett,DF,26,17,610,36.0,17.8,6.8,6.0,82.0,3.0,11.0,11.0,12.0,1.71,9.0,6.0,3.0,0.44,-0.58,11.0,6.9,4.1,0.61,-0.3,,,,,,,
44,Anthony Gordon,"FW,MF",21,16,487,30.0,14.2,5.4,4.0,57.0,0.0,12.0,22.0,0.0,1.63,7.0,5.0,2.0,0.37,-0.64,9.3,7.1,2.1,0.39,-0.53,,,,,,,
45,Chris Wood,FW,30,18,446,25.0,13.0,5.0,4.0,72.0,0.0,14.0,11.0,1.0,1.94,8.0,3.0,5.0,1.01,0.1,6.8,4.1,2.6,0.53,-0.37,,,,,,,
46,Elliot Anderson,"MF,FW",19,22,410,19.0,12.0,4.6,3.0,58.0,0.0,19.0,12.0,12.0,1.82,8.0,7.0,1.0,0.22,-0.8,11.7,5.5,6.2,1.37,0.59,,,,,,,
47,Ryan Fraser,FW,28,8,313,39.0,9.2,3.5,3.0,67.0,0.0,5.0,22.0,8.0,1.63,3.0,3.0,0.0,0.0,-1.01,5.8,3.3,2.5,0.71,-0.15,,,,,,,
48,Jamaal Lascelles,DF,28,7,218,31.0,6.4,2.4,2.0,90.0,2.0,5.0,8.0,21.0,1.89,2.0,5.0,-3.0,-1.24,-2.31,2.6,4.3,-1.7,-0.69,-1.65,,,,,,,
49,Martin Dúbravka,GK,33,2,157,79.0,4.6,1.7,1.0,90.0,1.0,1.0,67.0,22.0,0.5,1.0,1.0,0.0,0.0,-0.97,3.5,3.2,0.3,0.18,-0.7,,,,,,,
50,Matt Ritchie,"FW,MF",32,7,39,6.0,1.1,0.4,0.0,0.0,7.0,6.0,18.0,2.29,1.0,0.0,1.0,2.31,1.4,1.9,0.7,1.2,2.78,1.95,,,,,,,,
51,Javier Manquillo,DF,28,4,37,9.0,1.1,0.4,0.0,0.0,4.0,9.0,24.0,3.0,2.0,1.0,1.0,2.43,1.53,1.0,0.9,0.1,0.18,-0.68,,,,,,,,
52,Jonjo Shelvey,MF,30,3,37,12.0,1.1,0.4,0.0,0.0,3.0,12.0,3.0,3.0,1.0,1.0,0.0,0.0,-0.93,0.5,0.6,-0.1,-0.28,-1.15,,,,,,,,
53,Lewis Miley,MF,16,1,15,15.0,0.4,0.2,0.0,0.0,1.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.93,0.1,0.9,-0.8,-4.62,-5.5,,,,,,,,
54,Jamal Lewis,"DF,FW",24,2,11,6.0,0.3,0.1,0.0,0.0,2.0,6.0,20.0,2.0,0.0,1.0,-1.0,-8.18,-9.13,0.1,1.0,-1.0,-7.94,-8.82,,,,,,,,
55,Emil Krafth,DF,27,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.92,0.0,0.1,-0.1,-8.84,-9.7,,,,,,,,
56,Harrison Ashby,DF,20,0,0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
57,Karl Darlow,GK,31,0,0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
58,Paul Dummett,DF,30,0,0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
59,Mark Gillespie,GK,30,0,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
60,Loris Karius,GK,29,0,0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
61,Squad Total,"3,420",90,100,38.0,418.0,84.0,263.0,155.0,16.0,185.0,1.87,68.0,33.0,35.0,0.92,72.0,39.6,32.4,,,,,,,,,,,,,
62,Opponent Total,"3,420",90,100,38.0,418.0,84.0,270.0,146.0,23.0,196.0,0.76,33.0,68.0,-35.0,-0.92,39.6,72.0,-32.4,,,,,,,,,,,,,
63,Kieran Trippier,DF,31,38.0,38,"3,341",37.1,1.0,7.0,8.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,12.4,13.3,45.0,260.0,151.0,0.03,0.19,0.22,0.03,0.22,0.02,0.33,0.36,0.02,0.36
64,Nick Pope,GK,30,37.0,37,"3,261",36.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Fabian Schär,DF,30,36.0,36,"3,206",35.6,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,4.9,4.9,3.3,8.2,27.0,139.0,32.0,0.03,0.08,0.11,0.03,0.11,0.14,0.09,0.23,0.14,0.23
66,Sven Botman,DF,22,36.0,35,"3,127",34.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,2.5,1.0,3.5,8.0,87.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1
67,Dan Burn,DF,30,38.0,35,"3,111",34.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,2.1,2.1,1.3,3.4,29.0,118.0,46.0,0.03,0.0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1
68,Bruno Guimarães,MF,24,32.0,32,"2,726",30.3,4.0,5.0,9.0,4.0,0.0,0.0,7.0,0.0,2.8,2.8,4.0,6.8,41.0,222.0,42.0,0.13,0.17,0.3,0.13,0.3,0.09,0.13,0.23,0.09,0.23
69,Joe Willock,MF,22,35.0,31,"2,558",28.4,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,7.0,7.0,6.0,13.0,97.0,121.0,152.0,0.11,0.21,0.32,0.11,0.32,0.25,0.21,0.46,0.25,0.46
70,Joelinton br,25,32,30.0,"2,661",29.6,6.0,1.0,7.0,6.0,0.0,0.0,12.0,0.0,7.1,7.1,2.4,9.4,64.0,130.0,150.0,0.2,0.03,0.24,0.2,0.24,0.24,0.08,0.32,0.24,0.32,
71,Miguel Almirón,FW,28,34.0,29,"2,491",27.7,11.0,2.0,13.0,11.0,0.0,0.0,2.0,0.0,8.0,8.0,3.2,11.1,77.0,124.0,264.0,0.4,0.07,0.47,0.4,0.47,0.29,0.11,0.4,0.29,0.4
72,Sean Longstaff,MF,24,33.0,28,"2,518",28.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,3.6,3.6,3.3,6.9,21.0,116.0,115.0,0.04,0.14,0.18,0.04,0.18,0.13,0.12,0.25,0.13,0.25
73,Callum Wilson,FW,30,31.0,21,"1,877",20.9,18.0,5.0,23.0,15.0,3.0,3.0,4.0,0.0,17.5,15.1,2.7,17.8,27.0,19.0,118.0,0.86,0.24,1.1,0.72,0.96,0.84,0.13,0.97,0.72,0.85
74,Alexander Isak,FW,22,22.0,17,"1,522",16.9,10.0,1.0,11.0,8.0,2.0,2.0,3.0,0.0,8.2,6.7,2.2,8.9,41.0,48.0,122.0,0.59,0.06,0.65,0.47,0.53,0.49,0.13,0.62,0.4,0.52
75,Jacob Murphy,FW,27,36.0,14,"1,251",13.9,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,3.3,3.3,2.8,6.1,66.0,57.0,141.0,0.29,0.14,0.43,0.29,0.43,0.24,0.2,0.44,0.24,0.44
76,Allan Saint-Maximin,FW,25,25.0,12,"1,120",12.4,1.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,4.6,6.2,93.0,69.0,111.0,0.08,0.4,0.48,0.08,0.48,0.13,0.37,0.5,0.13,0.5
77,Matt Targett,DF,26,17.0,6,610,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,3.0,43.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.07
78,Anthony Gordon,"FW,MF",21,16.0,4,487,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.9,2.6,20.0,15.0,45.0,0.18,0.0,0.18,0.18,0.18,0.31,0.17,0.48,0.31,0.48
79,Chris Wood,FW,30,18.0,4,446,5.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.8,1.0,0.3,1.3,1.0,4.0,23.0,0.4,0.0,0.4,0.2,0.2,0.37,0.06,0.43,0.21,0.27
80,Elliot Anderson,"MF,FW",19,22.0,3,410,4.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,2.3,23.0,24.0,35.0,0.0,0.22,0.22,0.0,0.22,0.22,0.28,0.51,0.22,0.51
