,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Teemu Pukki,FW,31,36.1,540,444,95.0,0.0,2.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,399.0,1.0,22.0,,,,,,,,,,,,,
1,Grant Hanley,DF,29,32.2,1310,1250,60.0,60.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,0.0,6.0,,,,,,,,,,,,,
2,Max Aarons,DF,21,32.0,1469,1130,332.0,17.0,5.0,4.0,50.0,315.0,0.0,0.0,0.0,0.0,1107.0,7.0,40.0,,,,,,,,,,,,,
3,Kenny McLean,MF,29,30.1,1090,1054,31.0,15.0,4.0,11.0,37.0,13.0,1.0,1.0,0.0,0.0,786.0,5.0,25.0,,,,,,,,,,,,,
4,Tim Krul,GK,33,29.0,1073,741,330.0,106.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,2.0,0.0,,,,,,,,,,,,,
5,Ben Gibson,DF,28,27.7,1382,1319,57.0,47.0,0.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,1117.0,6.0,11.0,,,,,,,,,,,,,
6,Pierre Lees-Melou,MF,28,25.2,1033,1012,20.0,8.0,7.0,28.0,33.0,9.0,1.0,1.0,0.0,0.0,807.0,1.0,24.0,,,,,,,,,,,,,
7,Milot Rashica,"FW,MF",25,24.8,602,521,78.0,23.0,3.0,6.0,128.0,12.0,43.0,22.0,15.0,0.0,363.0,3.0,15.0,,,,,,,,,,,,,
8,Brandon Williams,DF,20,23.6,1130,927,197.0,21.0,4.0,7.0,14.0,176.0,0.0,0.0,0.0,0.0,899.0,6.0,14.0,,,,,,,,,,,,,
9,Billy Gilmour,MF,20,20.6,1243,1110,130.0,41.0,2.0,22.0,98.0,6.0,64.0,25.0,36.0,2.0,991.0,3.0,15.0,,,,,,,,,,,,,
10,Mathias Normann,MF,25,18.3,795,727,65.0,33.0,8.0,21.0,34.0,11.0,20.0,13.0,3.0,0.0,546.0,3.0,16.0,,,,,,,,,,,,,
11,Josh Sargent,"FW,MF",21,17.5,410,401,9.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,292.0,0.0,17.0,,,,,,,,,,,,,
12,Dimitris Giannoulis,DF,25,13.0,714,585,127.0,8.0,0.0,3.0,44.0,115.0,4.0,4.0,0.0,0.0,530.0,2.0,15.0,,,,,,,,,,,,,
13,Sam Byram,DF,27,11.4,515,441,73.0,9.0,0.0,2.0,9.0,64.0,0.0,0.0,0.0,0.0,393.0,1.0,9.0,,,,,,,,,,,,,
14,Ozan Kabak,DF,21,10.2,431,419,12.0,11.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,350.0,0.0,6.0,,,,,,,,,,,,,
15,Kieran Dowell,"FW,MF",23,10.1,334,304,28.0,11.0,3.0,5.0,38.0,1.0,16.0,13.0,2.0,0.0,223.0,2.0,12.0,,,,,,,,,,,,,
16,Angus Gunn,GK,25,9.0,307,177,128.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,2.0,0.0,,,,,,,,,,,,,
17,Lukas Rupp,MF,30,8.5,391,385,3.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,322.0,3.0,15.0,,,,,,,,,,,,,
18,Adam Idah,"FW,MF",20,6.9,150,143,5.0,0.0,0.0,1.0,13.0,3.0,0.0,0.0,0.0,0.0,95.0,2.0,11.0,,,,,,,,,,,,,
19,Jakob Sørensen,"MF,DF",23,6.7,309,299,9.0,4.0,0.0,5.0,2.0,4.0,1.0,0.0,1.0,0.0,251.0,1.0,4.0,,,,,,,,,,,,,
20,Przemysław Płacheta,"FW,MF",23,5.6,163,142,19.0,1.0,1.0,3.0,23.0,6.0,12.0,8.0,3.0,0.0,109.0,2.0,11.0,,,,,,,,,,,,,
21,Todd Cantwell,"FW,MF",23,4.9,157,148,9.0,5.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,130.0,0.0,3.0,,,,,,,,,,,,,
22,Andrew Omobamidele,DF,19,4.2,235,220,15.0,7.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,197.0,0.0,2.0,,,,,,,,,,,,,
23,Christos Tzolis,"FW,MF",19,3.7,104,102,2.0,0.0,0.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,75.0,0.0,5.0,,,,,,,,,,,,,
24,Christoph Zimmermann,DF,28,1.7,63,60,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,1.0,,,,,,,,,,,,,
25,Tony Springett,"MF,FW",18,1.6,38,38,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,,,,,,,,,,,,,
26,Jon Rowe,"FW,MF",18,2.5,72,68,2.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,48.0,2.0,4.0,,,,,,,,,,,,,
27,Bali Mumba,DF,19,0.5,10,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,,,,,,,,,,,,
28,Squad Total,16070,14176,1839.0,474,50,153.0,568.0,766.0,165.0,90.0,60.0,2.0,12164.0,55.0,,,,,,,,,,,,,,,,,
29,Opponent Total,21657,19892,1709.0,380,77,162.0,793.0,784.0,251.0,131.0,78.0,1.0,17698.0,56.0,,,,,,,,,,,,,,,,,
30,Teemu Pukki,FW,31,37.0,"3,253",88,95.1,36.1,37.0,88.0,29.0,0.0,0.0,0.59,22.0,79.0,-57.0,-1.58,0.58,29.8,72.1,-42.4,-1.17,-0.76,,,,,,,,
31,Grant Hanley,DF,29,33.0,"2,897",88,84.7,32.2,33.0,88.0,31.0,0.0,0.0,0.58,20.0,70.0,-50.0,-1.55,0.34,26.9,62.1,-35.2,-1.09,0.28,,,,,,,,
32,Max Aarons,DF,21,34.0,"2,881",85,84.2,32.0,32.0,89.0,29.0,2.0,22.0,2.0,0.53,18.0,69.0,-51.0,-1.59,0.08,25.5,60.0,-34.6,-1.08,0.35,,,,,,,
33,Kenny McLean,MF,29,31.0,"2,706",87,79.1,30.1,29.0,89.0,27.0,2.0,58.0,1.0,0.58,20.0,62.0,-42.0,-1.4,1.0,25.9,61.3,-35.5,-1.18,-0.21,,,,,,,
34,Tim Krul,GK,33,29.0,"2,610",90,76.3,29.0,29.0,90.0,29.0,0.0,3.0,0.59,17.0,62.0,-45.0,-1.55,0.23,26.1,55.0,-28.8,-0.99,0.6,,,,,,,,
35,Ben Gibson,DF,28,28.0,"2,494",89,72.9,27.7,28.0,89.0,27.0,0.0,7.0,0.79,20.0,55.0,-35.0,-1.26,1.26,24.2,52.2,-28.0,-1.01,0.46,,,,,,,,
36,Pierre Lees-Melou,MF,28,33.0,"2,265",69,66.2,25.2,27.0,79.0,15.0,6.0,21.0,4.0,0.55,17.0,55.0,-38.0,-1.51,0.28,21.9,51.5,-29.6,-1.18,-0.12,,,,,,,
37,Milot Rashica,"FW,MF",25,31.0,"2,229",72,65.2,24.8,25.0,83.0,11.0,6.0,27.0,1.0,0.65,21.0,56.0,-35.0,-1.41,0.55,21.3,52.1,-30.8,-1.24,-0.31,,,,,,,
38,Brandon Williams,DF,20,26.0,"2,120",82,62.0,23.6,23.0,88.0,19.0,3.0,32.0,6.0,0.69,16.0,52.0,-36.0,-1.53,0.2,19.4,49.3,-29.9,-1.27,-0.35,,,,,,,
39,Billy Gilmour,MF,20,24.0,"1,855",77,54.2,20.6,21.0,86.0,15.0,3.0,16.0,7.0,0.33,8.0,52.0,-44.0,-2.13,-1.16,17.8,44.5,-26.6,-1.29,-0.34,,,,,,,
40,Mathias Normann,MF,25,23.0,"1,645",72,48.1,18.3,20.0,78.0,10.0,3.0,30.0,1.0,0.65,13.0,40.0,-27.0,-1.48,0.25,14.9,37.5,-22.6,-1.24,-0.2,,,,,,,
