,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Morgan Gibbs-White,"MF,FW",22.0,33.0,1078,891,171.0,62.0,16.0,8.0,161.0,5.0,94.0,43.0,44.0,1.0,659.0,16.0,30.0,,,,,,,,,,,,,
1,Brennan Johnson,"FW,MF",21.0,32.6,505,480,23.0,0.0,0.0,2.0,58.0,4.0,1.0,1.0,0.0,0.0,291.0,2.0,27.0,,,,,,,,,,,,,
2,Renan Lodi,DF,24.0,24.6,877,684,189.0,44.0,0.0,3.0,75.0,130.0,15.0,12.0,2.0,0.0,583.0,4.0,29.0,,,,,,,,,,,,,
3,Remo Freuler,MF,30.0,24.0,836,812,23.0,20.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,664.0,1.0,17.0,,,,,,,,,,,,,
4,Serge Aurier,DF,29.0,21.6,943,758,183.0,16.0,1.0,0.0,40.0,167.0,0.0,0.0,0.0,0.0,667.0,2.0,28.0,,,,,,,,,,,,,
5,Joe Worrall,DF,25.0,24.7,1157,1058,97.0,33.0,0.0,8.0,3.0,58.0,0.0,0.0,0.0,0.0,891.0,2.0,9.0,,,,,,,,,,,,,
6,Ryan Yates,MF,24.0,20.4,592,526,62.0,12.0,0.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,455.0,4.0,17.0,,,,,,,,,,,,,
7,Neco Williams,DF,21.0,20.9,840,651,182.0,28.0,3.0,7.0,89.0,141.0,13.0,7.0,6.0,0.0,533.0,7.0,38.0,,,,,,,,,,,,,
8,Orel Mangala,MF,24.0,17.2,514,508,4.0,3.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,411.0,2.0,11.0,,,,,,,,,,,,,
9,Scott McKenna,DF,25.0,17.5,727,691,32.0,11.0,0.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,569.0,4.0,2.0,,,,,,,,,,,,,
10,Dean Henderson,GK,25.0,18.0,671,455,214.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,2.0,0.0,,,,,,,,,,,,,
11,Keylor Navas,GK,35.0,17.0,534,312,217.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,5.0,0.0,,,,,,,,,,,,,
12,Taiwo Awoniyi,FW,24.0,15.6,223,220,3.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,143.0,0.0,9.0,,,,,,,,,,,,,
13,Felipe br,33,15.8,568.0,545,20,13.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,411.0,3.0,11.0,,,,,,,,,,,,,,
14,Moussa Niakhate,DF,26.0,12.9,391,293,98.0,8.0,0.0,0.0,2.0,90.0,0.0,0.0,0.0,0.0,265.0,0.0,8.0,,,,,,,,,,,,,
15,Danilo br,21,10.8,235.0,225,7,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,148.0,3.0,18.0,,,,,,,,,,,,,,
16,Jesse Lingard,"FW,MF",29.0,10.3,297,271,24.0,7.0,1.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,236.0,2.0,5.0,,,,,,,,,,,,,
17,Steve Cook,DF,31.0,10.6,459,445,13.0,11.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,369.0,1.0,2.0,,,,,,,,,,,,,
18,Cheikhou Kouyaté,MF,32.0,9.8,246,241,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,1.0,7.0,,,,,,,,,,,,,
19,Harry Toffolo,DF,26.0,10.4,387,313,72.0,5.0,0.0,1.0,29.0,65.0,2.0,2.0,0.0,0.0,242.0,2.0,12.0,,,,,,,,,,,,,
20,Willy Boly,DF,31.0,7.6,258,254,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,194.0,0.0,3.0,,,,,,,,,,,,,
21,Emmanuel Dennis,"FW,MF",24.0,8.0,183,178,4.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,124.0,1.0,14.0,,,,,,,,,,,,,
22,Lewis O'Brien,MF,23.0,6.5,214,207,7.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,166.0,0.0,4.0,,,,,,,,,,,,,
23,Jonjo Shelvey,MF,30.0,6.0,302,271,31.0,27.0,3.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,221.0,0.0,1.0,,,,,,,,,,,,,
24,Chris Wood,FW,30.0,4.1,71,71,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,,,,,,,,,,,,,
25,Jack Colback,MF,32.0,5.5,143,139,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,119.0,0.0,3.0,,,,,,,,,,,,,
26,Wayne Hennessey,GK,35.0,3.0,99,63,34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,0.0,,,,,,,,,,,,,
27,Gustavo Scarpa,"MF,FW",28.0,2.0,78,72,6.0,0.0,1.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,51.0,0.0,5.0,,,,,,,,,,,,,
28,Sam Surridge,FW,24.0,3.6,81,77,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,3.0,,,,,,,,,,,,,
29,André Ayew,"FW,MF",32.0,3.5,73,68,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,0.0,,,,,,,,,,,,,
30,Giulian Biancone,DF,22.0,0.2,21,19,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,
31,Alex Mighten,FW,20.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
32,Cafú pt,29,0.1,2.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,
33,Squad Total,13606,11801.0,1738.0,446,31,66.0,530.0,720.0,128.0,65.0,53.0,1.0,9543.0,67.0,,,,,,,,,,,,,,,,,
34,Opponent Total,22551,20654.0,1839.0,477,79,123.0,817.0,816.0,239.0,99.0,93.0,6.0,18444.0,58.0,,,,,,,,,,,,,,,,,
35,Morgan Gibbs-White,"MF,FW",22,35,"2,971",85.0,86.9,33.0,34.0,87.0,26.0,1.0,30.0,0.0,1.0,37.0,59.0,-22.0,-0.67,0.94,36.0,54.7,-18.7,-0.57,0.69,,,,,,,
36,Brennan Johnson,"FW,MF",21,38,"2,934",77.0,85.8,32.6,33.0,86.0,21.0,5.0,20.0,0.0,1.0,30.0,54.0,-24.0,-0.74,0.37,31.8,52.8,-20.9,-0.64,0.1,,,,,,,
37,Renan Lodi,DF,24,28,"2,214",79.0,64.7,24.6,26.0,83.0,16.0,2.0,25.0,2.0,1.11,29.0,48.0,-19.0,-0.77,0.05,27.0,41.1,-14.1,-0.57,0.23,,,,,,,
38,Remo Freuler,MF,30,28,"2,161",77.0,63.2,24.0,24.0,84.0,16.0,4.0,38.0,8.0,0.82,17.0,47.0,-30.0,-1.25,-1.25,22.9,41.5,-18.5,-0.77,-0.31,,,,,,,
39,Serge Aurier,DF,29,24,"1,943",81.0,56.8,21.6,22.0,84.0,16.0,2.0,45.0,0.0,1.38,24.0,31.0,-7.0,-0.32,1.08,22.7,32.7,-10.0,-0.46,0.45,,,,,,,
40,Joe Worrall,DF,25,30,"2,224",74.0,65.0,24.7,21.0,89.0,20.0,9.0,40.0,8.0,1.1,26.0,44.0,-18.0,-0.73,0.17,26.6,43.6,-16.9,-0.69,-0.08,,,,,,,
41,Ryan Yates,MF,24,26,"1,837",71.0,53.7,20.4,21.0,81.0,14.0,5.0,27.0,0.0,1.04,22.0,36.0,-14.0,-0.69,0.22,22.1,29.0,-6.9,-0.34,0.69,,,,,,,
42,Neco Williams,DF,21,31,"1,882",61.0,55.0,20.9,20.0,85.0,15.0,11.0,16.0,2.0,0.94,18.0,41.0,-23.0,-1.1,-0.69,22.6,38.8,-16.2,-0.77,-0.26,,,,,,,
43,Orel Mangala,MF,24,27,"1,550",57.0,45.3,17.2,20.0,70.0,5.0,7.0,20.0,5.0,1.19,22.0,24.0,-2.0,-0.12,1.23,19.6,28.9,-9.3,-0.54,0.21,,,,,,,
44,Scott McKenna,DF,25,20,"1,571",79.0,45.9,17.5,19.0,82.0,16.0,1.0,16.0,5.0,0.85,14.0,32.0,-18.0,-1.03,-0.45,18.8,28.5,-9.7,-0.56,0.18,,,,,,,
45,Dean Henderson,GK,25,18,"1,620",90.0,47.4,18.0,18.0,90.0,18.0,0.0,0.0,1.11,15.0,31.0,-16.0,-0.89,-0.19,20.5,26.6,-6.1,-0.34,0.6,,,,,,,,
46,Keylor Navas,GK,35,17,"1,529",90.0,44.7,17.0,17.0,90.0,16.0,0.0,0.0,0.94,21.0,32.0,-11.0,-0.65,0.26,15.8,32.4,-16.6,-0.98,-0.58,,,,,,,,
47,Taiwo Awoniyi,FW,24,27,"1,404",52.0,41.1,15.6,17.0,71.0,0.0,10.0,19.0,2.0,0.93,19.0,29.0,-10.0,-0.64,0.25,17.9,25.9,-8.1,-0.52,0.24,,,,,,,
48,Felipe br,33,16,"1,418",89,41.5,15.8,15.0,89.0,13.0,1.0,84.0,1.0,0.81,20.0,32.0,-12.0,-0.76,0.05,15.2,31.2,-16.0,-1.02,-0.62,,,,,,,,
49,Moussa Niakhate,DF,26,14,"1,163",83.0,34.0,12.9,14.0,83.0,11.0,0.0,1.0,1.07,15.0,21.0,-6.0,-0.46,0.49,11.7,23.2,-11.5,-0.89,-0.36,,,,,,,,
50,Danilo br,21,13,976,75,28.5,10.8,12.0,78.0,5.0,1.0,46.0,3.0,1.23,17.0,17.0,0.0,0.0,1.1,11.8,20.1,-8.3,-0.77,-0.15,,,,,,,,
51,Jesse Lingard,"FW,MF",29,17,923,54.0,27.0,10.3,12.0,70.0,2.0,5.0,16.0,12.0,0.71,8.0,17.0,-9.0,-0.88,-0.12,10.4,15.2,-4.9,-0.47,0.25,,,,,,,
52,Steve Cook,DF,31,12,957,80.0,28.0,10.6,11.0,86.0,8.0,1.0,12.0,7.0,0.83,7.0,21.0,-14.0,-1.32,-0.73,10.5,14.9,-4.5,-0.42,0.33,,,,,,,
53,Cheikhou Kouyaté,MF,32,21,882,42.0,25.8,9.8,10.0,68.0,1.0,11.0,18.0,1.0,1.05,9.0,23.0,-14.0,-1.43,-0.86,9.3,16.7,-7.4,-0.75,-0.13,,,,,,,
54,Harry Toffolo,DF,26,19,940,49.0,27.5,10.4,9.0,86.0,7.0,10.0,16.0,10.0,1.0,7.0,17.0,-10.0,-0.96,-0.23,9.5,18.7,-9.2,-0.88,-0.31,,,,,,,
55,Willy Boly,DF,31,11,685,62.0,20.0,7.6,9.0,74.0,5.0,2.0,11.0,9.0,1.64,6.0,10.0,-4.0,-0.53,0.33,6.8,10.2,-3.5,-0.46,0.25,,,,,,,
56,Emmanuel Dennis,"FW,MF",24,19,720,38.0,21.1,8.0,6.0,72.0,0.0,13.0,22.0,12.0,0.26,7.0,17.0,-10.0,-1.25,-0.58,8.1,13.3,-5.2,-0.64,0.02,,,,,,,
57,Lewis O'Brien,MF,23,13,584,45.0,17.1,6.5,6.0,77.0,3.0,7.0,17.0,2.0,0.92,5.0,14.0,-9.0,-1.39,-0.72,6.7,13.7,-7.0,-1.08,-0.51,,,,,,,
58,Jonjo Shelvey,MF,30,8,540,68.0,15.8,6.0,6.0,78.0,2.0,2.0,35.0,2.0,0.25,4.0,10.0,-6.0,-1.0,-0.25,4.0,10.7,-6.7,-1.12,-0.55,,,,,,,
59,Chris Wood,FW,30,7,372,53.0,10.9,4.1,5.0,71.0,0.0,2.0,9.0,0.0,0.86,3.0,6.0,-3.0,-0.73,0.07,3.1,7.4,-4.3,-1.04,-0.43,,,,,,,
60,Jack Colback,MF,32,11,497,45.0,14.5,5.5,4.0,77.0,2.0,7.0,27.0,7.0,1.36,3.0,11.0,-8.0,-1.45,-0.77,4.7,9.7,-5.0,-0.91,-0.3,,,,,,,
61,Wayne Hennessey,GK,35,4,271,68.0,7.9,3.0,3.0,90.0,3.0,1.0,1.0,33.0,1.25,2.0,5.0,-3.0,-1.0,-0.22,3.1,5.2,-2.2,-0.72,-0.07,,,,,,,
62,Gustavo Scarpa,"MF,FW",28,6,181,30.0,5.3,2.0,2.0,55.0,0.0,4.0,18.0,3.0,1.17,1.0,1.0,0.0,0.0,0.83,2.4,2.8,-0.4,-0.2,0.48,,,,,,,
63,Sam Surridge,FW,24,20,323,16.0,9.4,3.6,1.0,62.0,0.0,19.0,14.0,16.0,1.15,5.0,5.0,0.0,0.0,0.87,5.8,8.4,-2.6,-0.72,-0.07,,,,,,,
64,André Ayew,"FW,MF",32,13,316,24.0,9.2,3.5,1.0,78.0,0.0,12.0,20.0,5.0,0.69,5.0,10.0,-5.0,-1.42,-0.7,4.7,7.2,-2.6,-0.73,-0.09,,,,,,,
