,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Aaron Ramsdale,GK,22,38.0,1153,733,414.0,133.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,6.0,1.0,,,,,,,,,,,,,
1,George Baldock,DF,27,31.0,1153,954,197.0,5.0,1.0,1.0,62.0,192.0,0.0,0.0,0.0,0.0,888.0,2.0,47.0,,,,,,,,,,,,,
2,Chris Basham,"DF,MF",32,28.6,1153,1071,80.0,10.0,0.0,4.0,25.0,69.0,0.0,0.0,0.0,0.0,939.0,2.0,16.0,,,,,,,,,,,,,
3,Enda Stevens,DF,30,30.0,1459,1238,206.0,11.0,0.0,9.0,64.0,195.0,0.0,0.0,0.0,0.0,1108.0,15.0,31.0,,,,,,,,,,,,,
4,John Egan,DF,27,29.2,1135,1109,22.0,18.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,923.0,4.0,5.0,,,,,,,,,,,,,
5,John Fleck,MF,28,28.6,1245,1122,119.0,31.0,2.0,5.0,96.0,6.0,61.0,39.0,9.0,4.0,971.0,4.0,29.0,,,,,,,,,,,,,
6,David McGoldrick,"FW,MF",32,26.6,947,919,24.0,4.0,1.0,7.0,21.0,13.0,0.0,0.0,0.0,0.0,697.0,4.0,18.0,,,,,,,,,,,,,
7,Oliver Norwood,MF,29,24.7,1532,1388,132.0,67.0,1.0,25.0,114.0,1.0,64.0,40.0,16.0,0.0,1205.0,12.0,15.0,,,,,,,,,,,,,
8,Ethan Ampadu,"DF,MF",19,23.2,1087,1002,83.0,18.0,0.0,15.0,19.0,60.0,5.0,5.0,0.0,0.0,870.0,2.0,14.0,,,,,,,,,,,,,
9,John Lundstram,MF,26,22.6,1082,1002,76.0,15.0,1.0,15.0,71.0,8.0,25.0,21.0,4.0,0.0,859.0,4.0,21.0,,,,,,,,,,,,,
10,Ben Osborn,"MF,DF",25,17.8,859,786,71.0,10.0,2.0,5.0,68.0,46.0,13.0,11.0,0.0,0.0,660.0,2.0,29.0,,,,,,,,,,,,,
11,Oliver Burke,FW,23,14.1,262,249,13.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,8.0,,,,,,,,,,,,,
12,Sander Berge,MF,22,12.4,464,454,8.0,3.0,0.0,3.0,23.0,3.0,2.0,2.0,0.0,0.0,378.0,2.0,9.0,,,,,,,,,,,,,
13,Oliver McBurnie,FW,24,14.7,447,442,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,253.0,3.0,14.0,,,,,,,,,,,,,
14,Rhian Brewster,"FW,MF",20,12.5,225,212,11.0,0.0,2.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,157.0,2.0,6.0,,,,,,,,,,,,,
15,Jayden Bogle,"DF,MF",20,12.3,387,324,62.0,0.0,0.0,0.0,12.0,62.0,0.0,0.0,0.0,0.0,296.0,1.0,11.0,,,,,,,,,,,,,
16,Kean Bryan,DF,23,11.2,486,461,24.0,3.0,0.0,9.0,17.0,21.0,0.0,0.0,0.0,0.0,333.0,1.0,12.0,,,,,,,,,,,,,
17,Jack Robinson,DF,26,9.7,470,422,47.0,7.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,364.0,1.0,4.0,,,,,,,,,,,,,
18,Billy Sharp,FW,34,8.2,123,109,11.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0,6.0,,,,,,,,,,,,,
19,Max Lowe,DF,23,6.1,221,194,25.0,0.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,147.0,2.0,7.0,,,,,,,,,,,,,
20,Phil Jagielka,DF,37,5.8,209,196,13.0,9.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,148.0,0.0,2.0,,,,,,,,,,,,,
21,Daniel Jebbison,FW,16,3.2,36,36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,,,,,,,,,,,,,
22,Lys Mousset,"FW,MF",24,3.3,46,38,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,,,,,,,,,,,,,
23,Jack O'Connell,DF,26,2.0,79,77,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,,,,,,,,,,,,,
24,Iliman Ndiaye,MF,20,0.1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,
25,Antwoine Hackford,DF,16,0.1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
26,Femi Seriki,MF,18,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
27,Squad Total,16264,14542,1649.0,347,13,115.0,666.0,750.0,170.0,118.0,29.0,4.0,12146.0,73.0,,,,,,,,,,,,,,,,,
28,Opponent Total,23109,21188,1864.0,502,24,163.0,718.0,841.0,243.0,81.0,101.0,18.0,18988.0,57.0,,,,,,,,,,,,,,,,,
29,Aaron Ramsdale,GK,22,38.0,"3,420",90,100.0,38.0,38.0,90.0,38.0,0.0,0.0,0.61,20.0,63.0,-43.0,-1.13,32.6,62.2,-29.6,-0.78,,,,,,,,,,
30,George Baldock,DF,27,32.0,"2,787",87,81.5,31.0,32.0,87.0,30.0,0.0,3.0,0.63,14.0,51.0,-37.0,-1.19,-0.34,25.1,53.5,-28.4,-0.92,-0.75,,,,,,,,
