,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Nathan Redmond,"MF,FW",24,36.3,1205,1166,37.0,2.0,6.0,16.0,76.0,3.0,11.0,3.0,1.0,5.0,871.0,2.0,50.0,,,,,,,,,,,,,
1,Pierre Højbjerg,MF,22,30.7,1835,1760,73.0,40.0,7.0,28.0,29.0,11.0,2.0,2.0,0.0,0.0,1503.0,2.0,28.0,,,,,,,,,,,,,
2,Alex McCarthy,GK,28,25.0,668,399,268.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,1.0,1.0,,,,,,,,,,,,,
3,Oriol Romeu,MF,26,23.7,1111,1096,12.0,7.0,1.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,878.0,3.0,23.0,,,,,,,,,,,,,
4,Ryan Bertrand,DF,28,24.0,1087,814,267.0,23.0,2.0,4.0,93.0,214.0,30.0,13.0,16.0,1.0,786.0,6.0,36.0,,,,,,,,,,,,,
5,Jan Bednarek,DF,22,23.9,888,801,84.0,21.0,3.0,5.0,1.0,63.0,0.0,0.0,0.0,0.0,607.0,3.0,6.0,,,,,,,,,,,,,
6,Jannik Vestergaard,DF,25,22.5,873,815,57.0,31.0,3.0,19.0,1.0,26.0,0.0,0.0,0.0,0.0,661.0,1.0,9.0,,,,,,,,,,,,,
7,Danny Ings,FW,26,18.3,409,395,11.0,1.0,5.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,281.0,3.0,14.0,,,,,,,,,,,,,
8,James Ward-Prowse,"MF,DF",23,21.6,892,717,170.0,43.0,0.0,5.0,145.0,22.0,92.0,58.0,31.0,1.0,613.0,5.0,13.0,,,,,,,,,,,,,
9,Yan Valery,DF,19,19.0,590,450,135.0,4.0,0.0,1.0,55.0,131.0,0.0,0.0,0.0,0.0,357.0,5.0,29.0,,,,,,,,,,,,,
10,Jack Stephens,DF,24,18.9,810,746,62.0,23.0,0.0,3.0,2.0,39.0,0.0,0.0,0.0,0.0,601.0,2.0,5.0,,,,,,,,,,,,,
11,Mario Lemina,MF,24,17.9,826,809,14.0,5.0,2.0,10.0,9.0,4.0,0.0,0.0,0.0,0.0,704.0,3.0,5.0,,,,,,,,,,,,,
12,Maya Yoshida,DF,29,16.9,557,546,10.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,1.0,5.0,,,,,,,,,,,,,
13,Cédric Soares,DF,26,16.6,791,642,145.0,16.0,0.0,3.0,64.0,128.0,1.0,0.0,1.0,0.0,556.0,4.0,30.0,,,,,,,,,,,,,
14,Stuart Armstrong,MF,26,15.9,648,607,37.0,4.0,0.0,6.0,25.0,6.0,13.0,4.0,3.0,4.0,492.0,4.0,29.0,,,,,,,,,,,,,
15,Matt Targett,DF,22,13.2,665,483,179.0,16.0,2.0,1.0,77.0,143.0,20.0,10.0,5.0,3.0,443.0,3.0,25.0,,,,,,,,,,,,,
16,Wesley Hoedt,DF,24,13.0,631,598,31.0,26.0,0.0,18.0,2.0,5.0,0.0,0.0,0.0,0.0,492.0,2.0,4.0,,,,,,,,,,,,,
17,Shane Long,"FW,MF",31,14.1,321,311,8.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,198.0,2.0,6.0,,,,,,,,,,,,,
18,Angus Gunn,GK,22,12.0,310,167,139.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,4.0,0.0,,,,,,,,,,,,,
19,Charlie Austin,FW,29,10.9,200,191,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,2.0,5.0,,,,,,,,,,,,,
20,Mohamed Elyounoussi,MF,23,8.8,273,239,33.0,5.0,2.0,1.0,48.0,2.0,24.0,7.0,6.0,8.0,178.0,1.0,18.0,,,,,,,,,,,,,
