,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Joe Allen,MF,27.0,34.9,1403,1360,37.0,17.0,3.0,3.0,37.0,2.0,9.0,3.0,1.0,4.0,1114.0,6.0,39.0,,,,,,,,,,,,,
1,Xherdan Shaqiri,"MF,FW",25.0,33.8,1293,1043,242.0,82.0,15.0,11.0,201.0,29.0,88.0,48.0,32.0,4.0,923.0,8.0,33.0,,,,,,,,,,,,,
2,Jack Butland,GK,24.0,35.0,1283,765,507.0,169.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,11.0,1.0,,,,,,,,,,,,,
3,Kurt Zouma,DF,22.0,32.1,1154,999,149.0,33.0,0.0,24.0,11.0,116.0,0.0,0.0,0.0,0.0,869.0,6.0,13.0,,,,,,,,,,,,,
4,Erik Pieters,DF,28.0,30.2,1310,1054,248.0,10.0,0.0,4.0,64.0,238.0,0.0,0.0,0.0,0.0,916.0,8.0,39.0,,,,,,,,,,,,,
5,Ryan Shawcross,DF,29.0,26.3,668,648,18.0,17.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,449.0,2.0,5.0,,,,,,,,,,,,,
6,Darren Fletcher,MF,33.0,24.7,1105,1042,59.0,23.0,6.0,19.0,49.0,4.0,26.0,18.0,8.0,0.0,843.0,4.0,20.0,,,,,,,,,,,,,
7,Geoff Cameron,"DF,MF",32.0,16.9,581,508,68.0,7.0,0.0,5.0,9.0,61.0,0.0,0.0,0.0,0.0,404.0,5.0,10.0,,,,,,,,,,,,,
8,Moritz Bauer,"DF,MF",25.0,14.5,465,314,149.0,11.0,0.0,3.0,39.0,138.0,0.0,0.0,0.0,0.0,293.0,2.0,17.0,,,,,,,,,,,,,
9,Peter Crouch,FW,36.0,17.4,643,633,6.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,375.0,4.0,13.0,,,,,,,,,,,,,
10,Kevin Wimmer,DF,24.0,14.7,584,484,100.0,22.0,0.0,13.0,2.0,78.0,0.0,0.0,0.0,0.0,448.0,0.0,5.0,,,,,,,,,,,,,
11,Badou Ndiaye,MF,26.0,12.6,348,330,15.0,8.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,283.0,3.0,6.0,,,,,,,,,,,,,
12,Ramadan Sobhi,"MF,FW",20.0,13.8,452,433,18.0,2.0,1.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,340.0,1.0,15.0,,,,,,,,,,,,,
13,Jesé es,24,6.8,162.0,143,17,2.0,0.0,1.0,13.0,1.0,3.0,1.0,1.0,0.0,118.0,2.0,8.0,,,,,,,,,,,,,,
14,Glen Johnson,DF,32.0,6.1,242,187,54.0,9.0,0.0,1.0,8.0,45.0,0.0,0.0,0.0,0.0,159.0,1.0,5.0,,,,,,,,,,,,,
15,Tom Edwards,"DF,MF",18.0,5.3,217,176,40.0,1.0,0.0,1.0,15.0,39.0,0.0,0.0,0.0,0.0,151.0,1.0,4.0,,,,,,,,,,,,,
16,Charlie Adam,MF,31.0,4.6,285,252,28.0,14.0,3.0,4.0,30.0,4.0,10.0,3.0,4.0,3.0,168.0,5.0,9.0,,,,,,,,,,,,,
17,Kostas Stafylidis,"DF,MF",23.0,3.7,147,102,44.0,2.0,0.0,0.0,10.0,42.0,0.0,0.0,0.0,0.0,98.0,1.0,5.0,,,,,,,,,,,,,
18,Saido Berahino,FW,23.0,5.5,99,87,12.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,2.0,,,,,,,,,,,,,
19,Lee Grant,GK,34.0,3.0,93,54,38.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0,,,,,,,,,,,,,
20,Josh Tymon,DF,18.0,1.8,91,85,6.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,76.0,0.0,1.0,,,,,,,,,,,,,
21,Ibrahim Afellay,MF,31.0,1.8,82,81,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,,,,,,,,,,,,,
22,Stephen Ireland,"MF,FW",30.0,1.5,70,63,5.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,2.0,1.0,,,,,,,,,,,,,
23,Lasse Sørensen,MF,17.0,0.8,56,54,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,3.0,,,,,,,,,,,,,
24,Bojan Krkić,MF,26.0,0.8,27,26,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,,,,,,,,,,,,,
25,Tyrese Campbell,FW,17.0,0.9,20,19,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,,,,,,,,,,,,,
26,Julien Ngoy,MF,19.0,0.2,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,
27,Squad Total,14569,12544.0,1938.0,460,33,111.0,598.0,875.0,136.0,73.0,46.0,11.0,10122.0,87.0,,,,,,,,,,,,,,,,,
28,Opponent Total,21090,18959.0,2041.0,488,81,122.0,844.0,926.0,281.0,125.0,62.0,4.0,16444.0,90.0,,,,,,,,,,,,,,,,,
29,Joe Allen,MF,27,36.0,"3,139",87,91.8,34.9,36.0,33.0,0.0,1.0,0.92,30.0,55.0,-25.0,-0.72,1.85,33.6,52.2,-18.6,-0.53,1.87,,,,,,,,,
30,Xherdan Shaqiri,"MF,FW",25,36.0,"3,039",84,88.9,33.8,36.0,26.0,0.0,1.0,0.92,30.0,58.0,-28.0,-0.83,0.35,31.6,54.3,-22.7,-0.67,0.11,,,,,,,,,
31,Jack Butland,GK,24,35.0,"3,150",90,92.1,35.0,35.0,35.0,0.0,0.0,0.91,32.0,61.0,-29.0,-0.83,0.5,33.8,57.7,-23.9,-0.68,0.02,,,,,,,,,
32,Kurt Zouma,DF,22,34.0,"2,888",85,84.4,32.1,32.0,31.0,2.0,0.0,0.97,33.0,50.0,-17.0,-0.53,2.18,32.2,49.7,-17.5,-0.55,0.89,,,,,,,,,
33,Erik Pieters,DF,28,31.0,"2,718",88,79.5,30.2,30.0,27.0,1.0,1.0,0.9,29.0,50.0,-21.0,-0.7,0.84,28.7,47.2,-18.6,-0.61,0.34,,,,,,,,,
34,Mame Biram,SEN,"FW,DF",29.0,35,"2,596",74.0,75.9,28.8,30.0,19.0,5.0,0.0,0.91,29.0,49.0,-20.0,-0.69,0.73,26.9,43.6,-16.8,-0.58,0.43,,,,,,,,
35,Ryan Shawcross,DF,29,27.0,"2,371",88,69.3,26.3,27.0,26.0,0.0,2.0,1.0,26.0,40.0,-14.0,-0.53,1.1,25.7,41.1,-15.5,-0.59,0.32,,,,,,,,,
36,Eric Maxim,CMR,"FW,MF",28.0,30,"2,314",77.0,67.7,25.7,26.0,18.0,4.0,1.0,0.9,28.0,45.0,-17.0,-0.66,0.64,25.3,36.7,-11.4,-0.46,0.66,,,,,,,,
37,Darren Fletcher,MF,33,27.0,"2,219",82,64.9,24.7,25.0,19.0,2.0,8.0,1.07,26.0,49.0,-23.0,-0.93,-0.18,25.2,39.5,-14.2,-0.58,0.31,,,,,,,,,
38,Geoff Cameron,"DF,MF",32,20.0,"1,525",76,44.6,16.9,17.0,14.0,3.0,8.0,0.9,15.0,31.0,-16.0,-0.94,-0.14,16.9,28.2,-11.4,-0.67,0.02,,,,,,,,,
39,Moritz Bauer,"DF,MF",25,15.0,"1,306",87,38.2,14.5,15.0,12.0,0.0,1.0,0.87,10.0,18.0,-8.0,-0.55,0.51,11.9,21.8,-10.0,-0.69,0.0,,,,,,,,,
40,Peter Crouch,FW,36,31.0,"1,567",51,45.8,17.4,14.0,10.0,17.0,4.0,0.77,18.0,27.0,-9.0,-0.52,0.65,20.4,31.8,-11.4,-0.66,0.05,,,,,,,,,
41,Kevin Wimmer,DF,24,17.0,"1,323",78,38.7,14.7,14.0,13.0,3.0,2.0,0.94,17.0,32.0,-15.0,-1.02,-0.25,15.4,28.9,-13.5,-0.92,-0.38,,,,,,,,,
42,Bruno Martins,NED,DF,25.0,17,"1,243",73.0,36.3,13.8,14.0,10.0,3.0,5.0,0.76,10.0,27.0,-17.0,-1.23,-0.57,11.9,22.0,-10.1,-0.73,-0.07,,,,,,,,
43,Badou Ndiaye,MF,26,13.0,"1,138",88,33.3,12.6,13.0,11.0,0.0,0.0,0.69,10.0,17.0,-7.0,-0.55,0.47,10.0,21.9,-12.0,-0.95,-0.39,,,,,,,,,
44,Ramadan Sobhi,"MF,FW",20,24.0,"1,238",52,36.2,13.8,12.0,5.0,12.0,12.0,0.88,9.0,30.0,-21.0,-1.53,-1.03,11.2,21.9,-10.6,-0.77,-0.14,,,,,,,,,
