,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Łukasz Fabiański,GK,32,38.0,1276,804,468,110.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,4.0,2.0,,,,,,,,,,,,,
1,Alfie Mawson,DF,23,38.0,1755,1699,51,47.0,1.0,43.0,2.0,4.0,0.0,0.0,0.0,0.0,1420.0,5.0,10.0,,,,,,,,,,,,,
2,Martin Olsson,DF,29,35.0,1596,1295,298,12.0,0.0,3.0,163.0,286.0,0.0,0.0,0.0,0.0,1100.0,3.0,69.0,,,,,,,,,,,,,
3,Kyle Naughton,DF,28,33.7,2111,1679,427,21.0,0.0,16.0,62.0,406.0,0.0,0.0,0.0,0.0,1525.0,5.0,59.0,,,,,,,,,,,,,
4,Jordan Ayew,"FW,MF",25,31.7,887,850,35,7.0,3.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0,700.0,2.0,27.0,,,,,,,,,,,,,
5,Federico Fernández,DF,28,29.7,1218,1174,44,40.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,1001.0,0.0,8.0,,,,,,,,,,,,,
6,Tom Carroll,MF,25,28.6,1577,1430,144,62.0,3.0,10.0,129.0,1.0,70.0,42.0,20.0,1.0,1235.0,3.0,32.0,,,,,,,,,,,,,
7,Sam Clucas,MF,26,22.7,872,788,80,26.0,2.0,5.0,55.0,27.0,24.0,16.0,4.0,1.0,689.0,4.0,12.0,,,,,,,,,,,,,
8,Ki Sung-yueng,MF,28,20.8,903,800,100,55.0,1.0,18.0,62.0,2.0,42.0,31.0,9.0,0.0,758.0,3.0,11.0,,,,,,,,,,,,,
9,Nathan Dyer,"MF,FW",29,14.5,553,542,10,3.0,2.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,426.0,1.0,20.0,,,,,,,,,,,,,
10,Tammy Abraham,FW,19,19.2,314,286,28,0.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,206.0,0.0,6.0,,,,,,,,,,,,,
11,Leroy Fer,MF,27,15.5,643,627,15,11.0,3.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,515.0,1.0,9.0,,,,,,,,,,,,,
12,André Ayew,"MF,FW",27,10.6,314,302,12,1.0,4.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,247.0,0.0,4.0,,,,,,,,,,,,,
13,Roque Mesa,MF,28,8.4,489,470,18,17.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,422.0,1.0,8.0,,,,,,,,,,,,,
14,Andy King,MF,28,7.9,359,348,11,10.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,296.0,0.0,3.0,,,,,,,,,,,,,
15,Renato Sanches,MF,19,7.8,420,383,36,16.0,1.0,6.0,32.0,8.0,11.0,8.0,3.0,0.0,330.0,1.0,5.0,,,,,,,,,,,,,
16,Wilfried Bony,FW,28,7.9,209,196,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,1.0,12.0,,,,,,,,,,,,,
17,Luciano Narsingh,"FW,MF",26,6.9,219,216,3,1.0,0.0,1.0,23.0,2.0,0.0,0.0,0.0,0.0,163.0,0.0,10.0,,,,,,,,,,,,,
18,Wayne Routledge,"MF,FW",32,4.8,177,171,5,0.0,0.0,0.0,15.0,1.0,3.0,2.0,0.0,0.0,115.0,1.0,9.0,,,,,,,,,,,,,
19,Leon Britton,MF,34,3.4,138,132,6,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,,,,,,,,,,,,,
20,Connor Roberts,DF,21,3.0,181,147,33,1.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,0.0,131.0,1.0,10.0,,,,,,,,,,,,,
21,Oliver McBurnie,"FW,MF",21,3.1,103,96,6,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,4.0,,,,,,,,,,,,,
22,Kyle Bartley,DF,26,2.6,115,112,3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,2.0,,,,,,,,,,,,,
23,Àngel Rangel,DF,34,1.7,118,99,18,2.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,99.0,1.0,1.0,,,,,,,,,,,,,
24,Jay Fulton,MF,23,0.2,8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,,,,,,,,,,,,,
25,Squad Total,17437,15500,1899.0,472,23,141,694.0,825.0,150.0,99.0,36.0,2.0,13223.0,38.0,,,,,,,,,,,,,,,,,
26,Opponent Total,21866,20064,1723.0,387,65,142,789.0,809.0,195.0,104.0,57.0,6.0,17707.0,79.0,,,,,,,,,,,,,,,,,
27,Łukasz Fabiański,GK,32,38,"3,420",90,100.0,38.0,38.0,38.0,0.0,0.0,0.87,28.0,56.0,-28.0,-0.74,31.6,58.6,-27.0,-0.71,,,,,,,,,,,
28,Alfie Mawson,DF,23,38,"3,420",90,100.0,38.0,38.0,38.0,0.0,0.0,0.87,28.0,56.0,-28.0,-0.74,31.6,58.6,-27.0,-0.71,,,,,,,,,,,
29,Martin Olsson,DF,29,36,"3,149",87,92.1,35.0,36.0,31.0,0.0,0.0,0.92,26.0,50.0,-24.0,-0.69,0.64,28.4,53.3,-24.9,-0.71,-0.02,,,,,,,,,
30,Kyle Naughton,DF,28,34,"3,030",89,88.6,33.7,34.0,31.0,0.0,1.0,0.94,26.0,50.0,-24.0,-0.71,0.21,25.4,52.0,-26.6,-0.79,-0.68,,,,,,,,,
31,Jordan Ayew,"FW,MF",25,36,"2,852",79,83.4,31.7,33.0,22.0,3.0,0.0,0.89,26.0,49.0,-23.0,-0.73,0.07,27.9,48.3,-20.4,-0.64,0.4,,,,,,,,,
32,Federico Fernández,DF,28,30,"2,676",89,78.2,29.7,30.0,29.0,0.0,4.0,0.93,24.0,44.0,-20.0,-0.67,0.3,23.0,47.0,-23.9,-0.81,-0.43,,,,,,,,,
33,Tom Carroll,MF,25,37,"2,570",69,75.1,28.6,28.0,20.0,9.0,1.0,0.89,18.0,39.0,-21.0,-0.74,0.01,24.4,44.3,-20.0,-0.7,0.05,,,,,,,,,
34,Mike van,nl,NED,DF,24,24,"1,944",81.0,56.8,21.6,24.0,16.0,0.0,13.0,1.0,17.0,27.0,-10.0,-0.46,0.63,18.4,31.2,-12.8,-0.59,0.27,,,,,,,
35,Sam Clucas,MF,26,29,"2,044",70,59.8,22.7,23.0,16.0,6.0,6.0,0.93,18.0,30.0,-12.0,-0.53,0.52,17.4,32.9,-15.4,-0.68,0.08,,,,,,,,,
36,Ki Sung-yueng,MF,28,25,"1,868",75,54.6,20.8,21.0,16.0,4.0,0.0,0.96,16.0,29.0,-13.0,-0.63,0.24,17.0,30.2,-13.2,-0.64,0.16,,,,,,,,,
37,Nathan Dyer,"MF,FW",29,24,"1,307",54,38.2,14.5,16.0,3.0,8.0,7.0,1.08,12.0,21.0,-9.0,-0.62,0.19,13.0,22.3,-9.3,-0.64,0.12,,,,,,,,,
38,Tammy Abraham,FW,19,31,"1,726",56,50.5,19.2,15.0,9.0,16.0,2.0,0.81,15.0,31.0,-16.0,-0.83,-0.2,16.9,31.8,-14.8,-0.77,-0.13,,,,,,,,,
39,Leroy Fer,MF,27,20,"1,397",70,40.8,15.5,15.0,10.0,5.0,4.0,0.8,12.0,26.0,-14.0,-0.9,-0.28,13.3,25.2,-12.0,-0.77,-0.1,,,,,,,,,
40,André Ayew,"MF,FW",27,12,950,79,27.8,10.6,10.0,7.0,2.0,0.0,0.75,9.0,17.0,-8.0,-0.76,-0.03,10.7,17.9,-7.2,-0.68,0.04,,,,,,,,,
41,Roque Mesa,MF,28,11,754,69,22.0,8.4,9.0,4.0,2.0,9.0,0.73,4.0,16.0,-12.0,-1.43,-0.89,6.3,13.2,-7.0,-0.83,-0.15,,,,,,,,,
42,Andy King,MF,28,11,715,65,20.9,7.9,9.0,4.0,2.0,1.0,0.82,6.0,14.0,-8.0,-1.01,-0.34,5.5,13.8,-8.3,-1.05,-0.43,,,,,,,,,
43,Renato Sanches,MF,19,12,702,59,20.5,7.8,9.0,4.0,3.0,5.0,0.42,3.0,10.0,-7.0,-0.9,-0.2,4.8,10.1,-5.3,-0.69,0.03,,,,,,,,,
44,Wilfried Bony,FW,28,15,707,47,20.7,7.9,8.0,4.0,7.0,0.0,0.87,3.0,8.0,-5.0,-0.64,0.13,5.5,9.7,-4.1,-0.52,0.24,,,,,,,,,
