,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Harry Kane,FW,29.0,37.8,921,853,60.0,14.0,20.0,18.0,37.0,25.0,0.0,0.0,0.0,0.0,642.0,8.0,39.0,,,,,,,,,,,,,
1,Pierre Højbjerg,MF,26.0,34.8,2292,2206,81.0,56.0,10.0,39.0,15.0,16.0,1.0,0.0,0.0,0.0,2021.0,5.0,28.0,,,,,,,,,,,,,
2,Son Heung-min,"MF,FW",30.0,32.1,909,780,123.0,23.0,5.0,0.0,113.0,5.0,83.0,36.0,30.0,0.0,680.0,6.0,28.0,,,,,,,,,,,,,
3,Eric Dier,DF,28.0,31.3,2001,1929,68.0,58.0,2.0,17.0,11.0,8.0,0.0,0.0,0.0,0.0,1708.0,4.0,15.0,,,,,,,,,,,,,
4,Cristian Romero,DF,24.0,26.3,1606,1523,80.0,60.0,4.0,20.0,0.0,19.0,0.0,0.0,0.0,0.0,1407.0,3.0,24.0,,,,,,,,,,,,,
5,Ben Davies,DF,29.0,25.4,1281,1190,87.0,27.0,1.0,8.0,35.0,60.0,0.0,0.0,0.0,0.0,1040.0,4.0,22.0,,,,,,,,,,,,,
6,Hugo Lloris,GK,35.0,24.5,728,513,212.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,3.0,1.0,,,,,,,,,,,,,
7,Clément Lenglet,DF,27.0,22.4,1465,1431,29.0,22.0,5.0,20.0,16.0,6.0,0.0,0.0,0.0,0.0,1270.0,5.0,11.0,,,,,,,,,,,,,
8,Ivan Perišić,"DF,MF",33.0,23.4,1121,895,221.0,16.0,0.0,13.0,196.0,138.0,67.0,57.0,6.0,0.0,713.0,5.0,43.0,,,,,,,,,,,,,
9,Dejan Kulusevski,"MF,FW",22.0,23.0,746,684,61.0,1.0,5.0,3.0,62.0,7.0,23.0,6.0,3.0,0.0,582.0,1.0,26.0,,,,,,,,,,,,,
