,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Ben Foster,GK,36,38.0,1221,735,472.0,177.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,14.0,0.0,,,,,,,,,,,,,
1,Abdoulaye Doucouré,MF,26,35.1,1712,1693,14.0,8.0,0.0,4.0,29.0,0.0,2.0,0.0,0.0,0.0,1320.0,5.0,47.0,,,,,,,,,,,,,
2,Étienne Capoue,MF,31,29.2,1465,1356,106.0,42.0,3.0,44.0,23.0,5.0,6.0,6.0,0.0,0.0,1180.0,3.0,16.0,,,,,,,,,,,,,
3,Craig Cathcart,DF,30,27.6,922,899,20.0,16.0,1.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,742.0,3.0,4.0,,,,,,,,,,,,,
4,Will Hughes,MF,24,25.0,916,849,61.0,24.0,1.0,2.0,69.0,1.0,36.0,28.0,4.0,0.0,679.0,6.0,26.0,,,,,,,,,,,,,
5,Craig Dawson,DF,29,26.2,962,928,29.0,13.0,1.0,22.0,4.0,16.0,0.0,0.0,0.0,0.0,741.0,5.0,10.0,,,,,,,,,,,,,
6,Christian Kabasele,DF,28,25.0,671,661,10.0,9.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,488.0,0.0,4.0,,,,,,,,,,,,,
7,Kiko Femenía,DF,28,24.9,1290,1008,281.0,13.0,0.0,10.0,69.0,267.0,1.0,0.0,1.0,0.0,988.0,1.0,25.0,,,,,,,,,,,,,
8,Troy Deeney,FW,31,24.7,727,714,6.0,0.0,1.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,386.0,7.0,19.0,,,,,,,,,,,,,
9,Gerard Deulofeu,FW,25,23.3,829,736,88.0,30.0,3.0,1.0,96.0,7.0,34.0,18.0,12.0,0.0,598.0,5.0,27.0,,,,,,,,,,,,,
10,Ismaila Sarr,"FW,MF",21,22.5,594,584,8.0,1.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,420.0,2.0,23.0,,,,,,,,,,,,,
11,Adam Masina,DF,25,20.2,962,743,213.0,15.0,1.0,13.0,69.0,190.0,8.0,5.0,2.0,0.0,574.0,6.0,24.0,,,,,,,,,,,,,
12,Roberto Pereyra,"FW,MF",28,18.3,662,615,45.0,7.0,0.0,4.0,32.0,15.0,21.0,11.0,5.0,0.0,540.0,2.0,9.0,,,,,,,,,,,,,
13,Adrian Mariappa,DF,32,16.8,615,479,133.0,5.0,0.0,2.0,22.0,128.0,0.0,0.0,0.0,0.0,426.0,3.0,6.0,,,,,,,,,,,,,
14,José Holebas,DF,35,11.4,620,430,189.0,16.0,0.0,3.0,71.0,134.0,39.0,17.0,20.0,0.0,419.0,1.0,4.0,,,,,,,,,,,,,
15,Tom Cleverley,MF,29,10.8,467,433,31.0,12.0,0.0,2.0,29.0,5.0,6.0,2.0,3.0,0.0,369.0,3.0,3.0,,,,,,,,,,,,,
16,Nathaniel Chalobah,MF,24,10.3,370,347,22.0,7.0,0.0,2.0,21.0,2.0,13.0,5.0,2.0,2.0,261.0,1.0,17.0,,,,,,,,,,,,,
17,Danny Welbeck,"FW,MF",28,9.1,168,163,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,125.0,0.0,2.0,,,,,,,,,,,,,
18,Andre Gray,FW,28,8.4,155,150,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,9.0,,,,,,,,,,,,,
19,Daryl Janmaat,DF,30,6.7,346,290,55.0,1.0,0.0,0.0,24.0,54.0,0.0,0.0,0.0,0.0,257.0,1.0,8.0,,,,,,,,,,,,,
20,Dimitri Foulquier,"DF,MF",26,0.7,12,11,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,
21,Sebastian Prödl,DF,32,0.6,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,
22,Ignacio Pussetto,"FW,MF",23,0.8,36,31,5.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,,,,,,,,,,,,,
23,Isaac Success,"FW,MF",23,0.8,20,19,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,,,,,,,,,
