,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Sam Johnstone,GK,27,37.0,1297,799,491.0,195.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,7.0,1.0,,,,,,,,,,,,,
1,Darnell Furlong,DF,24,32.6,1204,900,295.0,15.0,0.0,3.0,99.0,280.0,0.0,0.0,0.0,0.0,682.0,9.0,33.0,,,,,,,,,,,,,
2,Semi Ajayi,DF,26,30.9,999,931,61.0,13.0,0.0,10.0,7.0,48.0,0.0,0.0,0.0,0.0,719.0,7.0,7.0,,,,,,,,,,,,,
3,Matheus Pereira,"MF,FW",24,28.6,1097,907,184.0,75.0,9.0,15.0,145.0,6.0,85.0,43.0,8.0,14.0,790.0,6.0,26.0,,,,,,,,,,,,,
4,Kyle Bartley,DF,29,28.7,842,805,34.0,23.0,0.0,7.0,1.0,11.0,0.0,0.0,0.0,0.0,647.0,3.0,5.0,,,,,,,,,,,,,
5,Conor Gallagher,MF,20,28.1,960,897,60.0,15.0,1.0,6.0,66.0,1.0,27.0,18.0,3.0,1.0,737.0,3.0,20.0,,,,,,,,,,,,,
6,Conor Townsend,DF,27,24.8,1196,964,227.0,15.0,0.0,4.0,62.0,211.0,1.0,0.0,0.0,0.0,883.0,5.0,22.0,,,,,,,,,,,,,
7,Dara O'Shea,DF,21,23.4,924,798,120.0,23.0,0.0,17.0,11.0,97.0,0.0,0.0,0.0,0.0,583.0,6.0,19.0,,,,,,,,,,,,,
8,Matt Phillips,MF,29,20.3,563,524,36.0,9.0,0.0,4.0,72.0,10.0,17.0,7.0,7.0,0.0,384.0,3.0,18.0,,,,,,,,,,,,,
9,Callum Robinson,"FW,MF",25,17.3,433,415,17.0,2.0,0.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,299.0,1.0,23.0,,,,,,,,,,,,,
10,Romaine Sawyers,MF,28,16.5,729,680,44.0,22.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,616.0,5.0,12.0,,,,,,,,,,,,,
