,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Łukasz Fabiański,GK,33,38.0,1238,761,465.0,156.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,12.0,1.0,,,,,,,,,,,,,
1,Felipe Anderson,"MF,FW",25,33.8,1824,1681,133.0,57.0,22.0,32.0,122.0,26.0,49.0,17.0,25.0,0.0,1325.0,10.0,72.0,,,,,,,,,,,,,
2,Declan Rice,MF,19,33.4,1524,1506,17.0,15.0,2.0,21.0,3.0,2.0,0.0,0.0,0.0,0.0,1313.0,1.0,24.0,,,,,,,,,,,,,
3,Issa Diop,DF,21,33.0,1141,1112,26.0,22.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,979.0,3.0,12.0,,,,,,,,,,,,,
4,Mark Noble,MF,31,25.5,1549,1456,88.0,69.0,10.0,29.0,23.0,14.0,1.0,1.0,0.0,0.0,1305.0,5.0,20.0,,,,,,,,,,,,,
5,Robert Snodgrass,MF,30,24.7,1150,985,160.0,38.0,9.0,4.0,170.0,6.0,115.0,62.0,44.0,2.0,859.0,5.0,33.0,,,,,,,,,,,,,
6,Marko Arnautović,FW,29,22.1,667,617,48.0,1.0,6.0,1.0,18.0,7.0,0.0,0.0,0.0,0.0,490.0,2.0,21.0,,,,,,,,,,,,,
7,Pablo Zabaleta,DF,33,23.2,1134,894,236.0,14.0,0.0,2.0,48.0,222.0,0.0,0.0,0.0,0.0,852.0,4.0,32.0,,,,,,,,,,,,,
8,Fabián Balbuena,DF,26,22.4,836,806,28.0,27.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,662.0,2.0,8.0,,,,,,,,,,,,,
9,Michail Antonio,"MF,FW",28,23.4,773,713,58.0,2.0,5.0,7.0,50.0,53.0,0.0,0.0,0.0,0.0,496.0,2.0,37.0,,,,,,,,,,,,,
10,Angelo Ogbonna,DF,30,20.8,798,775,21.0,20.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,665.0,2.0,2.0,,,,,,,,,,,,,
11,Arthur Masuaku,DF,24,19.5,1101,896,201.0,20.0,1.0,18.0,37.0,180.0,1.0,0.0,0.0,0.0,880.0,4.0,32.0,,,,,,,,,,,,,
12,Aaron Cresswell,DF,28,17.7,1082,859,220.0,20.0,0.0,3.0,75.0,192.0,8.0,1.0,6.0,0.0,848.0,3.0,38.0,,,,,,,,,,,,,
13,Javier Hernández,FW,30,14.8,334,301,30.0,2.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,229.0,3.0,13.0,,,,,,,,,,,,,
14,Pedro Obiang,MF,26,12.5,546,535,9.0,8.0,2.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,432.0,2.0,10.0,,,,,,,,,,,,,
15,Ryan Fredericks,DF,25,12.1,558,451,106.0,5.0,0.0,1.0,20.0,101.0,0.0,0.0,0.0,0.0,391.0,1.0,18.0,,,,,,,,,,,,,
16,Manuel Lanzini,MF,25,7.6,472,455,15.0,7.0,4.0,0.0,16.0,2.0,6.0,1.0,5.0,0.0,409.0,2.0,7.0,,,,,,,,,,,,,
17,Grady Diangana,"MF,FW",20,6.8,265,252,8.0,1.0,0.0,1.0,14.0,2.0,5.0,3.0,0.0,2.0,196.0,5.0,9.0,,,,,,,,,,,,,
18,Andriy Yarmolenko,"MF,FW",28,5.1,214,211,2.0,2.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,167.0,1.0,6.0,,,,,,,,,,,,,
19,Lucas Pérez,"FW,MF",29,5.3,147,139,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,102.0,2.0,7.0,,,,,,,,,,,,,
20,Jack Wilshere,MF,26,4.4,219,212,7.0,5.0,1.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,194.0,0.0,5.0,,,,,,,,,,,,,
21,Andy Carroll,FW,29,5.1,137,130,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,5.0,,,,,,,,,,,,,
22,Samir Nasri,MF,31,2.7,160,153,7.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,140.0,0.0,3.0,,,,,,,,,,,,,
23,Carlos Sánchez,MF,32,2.7,143,135,8.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,,,,,,,,,,,,,
24,Ben Johnson,DF,18,0.7,22,14,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,,,,,,,,,,,,,
25,Xande Silva,FW,21,0.2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,
26,Squad Total,18038,16053,1914.0,501,75,161.0,631.0,824.0,188.0,86.0,82.0,4.0,13847.0,71.0,,,,,,,,,,,,,,,,,
27,Opponent Total,19548,17686,1737.0,375,86,129.0,711.0,799.0,207.0,89.0,85.0,5.0,15357.0,125.0,,,,,,,,,,,,,,,,,
28,Łukasz Fabiański,GK,33,38.0,"3,420",90,100.0,38.0,38.0,90.0,38.0,0.0,0.0,1.37,52.0,55.0,-3.0,-0.08,47.6,61.9,-14.3,-0.38,,,,,,,,,,
29,Felipe Anderson,"MF,FW",25,36.0,"3,043",85,89.0,33.8,36.0,85.0,25.0,0.0,0.0,1.36,48.0,49.0,-1.0,-0.03,0.45,43.5,54.6,-11.0,-0.33,0.45,,,,,,,,
30,Declan Rice,MF,19,34.0,"3,003",88,87.8,33.4,34.0,88.0,32.0,0.0,2.0,1.44,47.0,47.0,0.0,0.0,0.65,41.8,55.8,-14.0,-0.42,-0.36,,,,,,,,
31,Issa Diop,DF,21,33.0,"2,970",90,86.8,33.0,33.0,90.0,33.0,0.0,5.0,1.55,48.0,43.0,5.0,0.15,1.75,42.6,51.4,-8.8,-0.27,0.84,,,,,,,,
32,Mark Noble,MF,31,31.0,"2,291",74,67.0,25.5,29.0,78.0,10.0,2.0,20.0,4.0,1.55,40.0,30.0,10.0,0.39,1.43,33.8,38.5,-4.7,-0.18,0.59,,,,,,,
33,Robert Snodgrass,MF,30,33.0,"2,220",67,64.9,24.7,25.0,82.0,15.0,8.0,23.0,3.0,1.3,32.0,33.0,-1.0,-0.04,0.11,30.4,37.4,-7.0,-0.28,0.26,,,,,,,
34,Marko Arnautović,FW,29,28.0,"1,990",71,58.2,22.1,24.0,78.0,10.0,4.0,28.0,0.0,1.43,28.0,33.0,-5.0,-0.23,-0.35,27.4,33.4,-6.0,-0.27,0.25,,,,,,,
