,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Conor Coady,DF,26,38.0,1853,1808,42.0,41.0,4.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1573.0,3.0,9.0,,,,,,,,,,,,,
1,Rui Patrício,GK,31,38.0,864,503,358.0,75.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,3.0,1.0,,,,,,,,,,,,,
2,Raúl Jiménez,FW,28,36.0,1031,1010,19.0,4.0,4.0,23.0,28.0,10.0,0.0,0.0,0.0,0.0,730.0,2.0,37.0,,,,,,,,,,,,,
3,Rúben Neves,MF,22,34.0,2070,1998,66.0,50.0,8.0,52.0,34.0,7.0,9.0,3.0,4.0,0.0,1635.0,6.0,21.0,,,,,,,,,,,,,
4,João Moutinho,MF,32,34.5,2071,1731,335.0,158.0,5.0,35.0,221.0,6.0,169.0,49.0,72.0,0.0,1647.0,5.0,19.0,,,,,,,,,,,,,
5,Jonny Castro,"MF,DF",25,32.1,1451,1139,309.0,2.0,1.0,3.0,54.0,307.0,0.0,0.0,0.0,0.0,1177.0,3.0,34.0,,,,,,,,,,,,,
6,Matt Doherty,"MF,DF",27,31.5,1854,1518,333.0,3.0,1.0,11.0,45.0,330.0,0.0,0.0,0.0,0.0,1392.0,3.0,41.0,,,,,,,,,,,,,
7,Leander Dendoncker,"MF,DF",24,31.1,1339,1317,17.0,14.0,0.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,1108.0,5.0,18.0,,,,,,,,,,,,,
8,Romain Saïss,DF,29,30.1,1649,1602,43.0,35.0,1.0,24.0,9.0,8.0,0.0,0.0,0.0,0.0,1285.0,4.0,16.0,,,,,,,,,,,,,
9,Adama Traoré,"FW,DF",23,28.9,952,895,56.0,0.0,9.0,3.0,183.0,55.0,0.0,0.0,0.0,0.0,614.0,1.0,49.0,,,,,,,,,,,,,
10,Diogo Jota,FW,22,25.4,886,828,52.0,0.0,4.0,10.0,38.0,2.0,0.0,0.0,0.0,0.0,682.0,6.0,27.0,,,,,,,,,,,,,
11,Willy Boly,DF,28,22.0,991,975,13.0,11.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,798.0,3.0,12.0,,,,,,,,,,,,,
12,Pedro Neto,"FW,MF",19,10.4,400,365,34.0,8.0,0.0,4.0,48.0,2.0,13.0,3.0,3.0,0.0,303.0,1.0,14.0,,,,,,,,,,,,,
13,Ryan Bennett,DF,29,6.7,245,232,13.0,0.0,0.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,182.0,0.0,1.0,,,,,,,,,,,,,
14,Rúben Vinagre,"MF,DF",20,7.2,342,271,70.0,1.0,0.0,1.0,30.0,69.0,0.0,0.0,0.0,0.0,255.0,1.0,18.0,,,,,,,,,,,,,
15,Patrick Cutrone,FW,21,3.3,65,57,8.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,,,,,,,,,,,,,
16,Daniel Podence,"FW,MF",23,3.2,101,97,3.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,70.0,1.0,2.0,,,,,,,,,,,,,
17,Max Kilman,DF,22,2.1,102,100,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,0.0,,,,,,,,,,,,,
18,Jesús Vallejo,DF,22,1.8,119,118,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,,,,,,,,,,,,,
19,Morgan Gibbs-White,"MF,FW",19,1.4,83,80,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,64.0,1.0,2.0,,,,,,,,,,,,,
20,Bruno Jordão,FW,20,0.1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,,,,,,,,,,,,,
21,Squad Total,18474,16650,1775.0,405,40,203.0,718.0,816.0,193.0,55.0,80.0,0.0,14298.0,49.0,,,,,,,,,,,,,,,,,
22,Opponent Total,19951,18133,1777.0,441,28,131.0,664.0,834.0,148.0,67.0,45.0,6.0,15811.0,41.0,,,,,,,,,,,,,,,,,
23,Conor Coady,DF,26,38.0,"3,420",90,100.0,38.0,38.0,90.0,38.0,0.0,0.0,1.55,51.0,40.0,11.0,0.29,54.1,38.0,16.1,0.42,,,,,,,,,,
24,Rui Patrício,GK,31,38.0,"3,420",90,100.0,38.0,38.0,90.0,38.0,0.0,0.0,1.55,51.0,40.0,11.0,0.29,54.1,38.0,16.1,0.42,,,,,,,,,,
25,Raúl Jiménez,FW,28,38.0,"3,236",85,94.6,36.0,37.0,87.0,20.0,1.0,19.0,0.0,1.55,48.0,36.0,12.0,0.33,0.82,50.2,32.7,17.5,0.49,1.15,,,,,,,
26,Rúben Neves,MF,22,38.0,"3,056",80,89.4,34.0,35.0,85.0,27.0,3.0,25.0,0.0,1.55,48.0,35.0,13.0,0.38,0.88,49.1,33.5,15.6,0.46,0.33,,,,,,,
27,João Moutinho,MF,32,38.0,"3,108",82,90.9,34.5,34.0,89.0,30.0,4.0,22.0,0.0,1.55,46.0,36.0,10.0,0.29,0.0,47.6,35.0,12.6,0.37,-0.64,,,,,,,
28,Jonny Castro,"MF,DF",25,35.0,"2,887",82,84.4,32.1,33.0,87.0,27.0,2.0,12.0,1.0,1.57,42.0,35.0,7.0,0.22,-0.46,43.8,33.0,10.8,0.34,-0.56,,,,,,,
29,Matt Doherty,"MF,DF",27,36.0,"2,839",79,83.0,31.5,32.0,85.0,26.0,4.0,31.0,1.0,1.64,45.0,31.0,14.0,0.44,0.91,46.9,29.5,17.4,0.55,0.76,,,,,,,
30,Leander Dendoncker,"MF,DF",24,38.0,"2,795",74,81.7,31.1,32.0,85.0,27.0,6.0,14.0,0.0,1.55,41.0,34.0,7.0,0.23,-0.35,43.9,29.6,14.3,0.46,0.21,,,,,,,
31,Romain Saïss,DF,29,33.0,"2,705",82,79.1,30.1,31.0,86.0,28.0,2.0,22.0,2.0,1.58,41.0,34.0,7.0,0.23,-0.27,45.9,28.0,17.8,0.59,0.81,,,,,,,
32,Adama Traoré,"FW,DF",23,37.0,"2,605",70,76.2,28.9,27.0,86.0,18.0,10.0,29.0,1.0,1.57,44.0,33.0,11.0,0.38,0.38,43.7,28.6,15.1,0.52,0.41,,,,,,,
33,Diogo Jota,FW,22,34.0,"2,284",67,66.8,25.4,27.0,78.0,6.0,7.0,26.0,0.0,1.44,26.0,28.0,-2.0,-0.08,-1.11,33.1,25.4,7.7,0.3,-0.36,,,,,,,
34,Willy Boly,DF,28,22.0,"1,979",90,57.9,22.0,22.0,90.0,21.0,0.0,1.0,1.64,26.0,15.0,11.0,0.5,0.5,28.3,21.1,7.2,0.33,-0.23,,,,,,,,
35,Pedro Neto,"FW,MF",19,29.0,939,32,27.5,10.4,9.0,69.0,1.0,20.0,16.0,6.0,1.69,19.0,12.0,7.0,0.67,0.53,17.1,11.8,5.3,0.51,0.12,,,,,,,
36,Ryan Bennett,DF,29,11.0,606,55,17.7,6.7,7.0,74.0,5.0,4.0,22.0,5.0,1.45,6.0,9.0,-3.0,-0.45,-0.89,7.1,8.6,-1.6,-0.23,-0.8,,,,,,,
37,Rúben Vinagre,"MF,DF",20,16.0,652,41,19.1,7.2,6.0,86.0,4.0,10.0,14.0,18.0,1.5,10.0,6.0,4.0,0.55,0.32,11.8,6.3,5.5,0.76,0.41,,,,,,,
38,Patrick Cutrone,FW,21,12.0,297,25,8.7,3.3,3.0,65.0,0.0,9.0,11.0,8.0,1.67,6.0,6.0,0.0,0.0,-0.32,5.5,6.2,-0.7,-0.22,-0.71,,,,,,,
39,Daniel Podence,"FW,MF",23,9.0,289,32,8.5,3.2,3.0,70.0,0.0,6.0,13.0,4.0,1.78,4.0,0.0,4.0,1.25,1.04,5.6,1.8,3.8,1.18,0.83,,,,,,,
40,Max Kilman,DF,22,3.0,185,62,5.4,2.1,2.0,90.0,2.0,1.0,5.0,30.0,1.33,1.0,2.0,-1.0,-0.49,-0.82,1.8,2.9,-1.1,-0.53,-1.01,,,,,,,
41,Jesús Vallejo,DF,22,2.0,163,82,4.8,1.8,1.0,90.0,1.0,1.0,73.0,10.0,0.5,3.0,6.0,-3.0,-1.66,-2.04,2.6,4.0,-1.4,-0.8,-1.28,,,,,,,
42,Morgan Gibbs-White,"MF,FW",19,7.0,129,18,3.8,1.4,1.0,66.0,0.0,6.0,11.0,19.0,1.43,2.0,2.0,0.0,0.0,-0.3,2.4,3.1,-0.8,-0.53,-0.99,,,,,,,
43,Bruno Jordão,FW,20,1.0,7,7,0.2,0.1,0.0,0.0,1.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.29,0.1,0.2,-0.1,-1.17,-1.6,,,,,,,,
44,Bernard Ashley-Seal,FW,20,0.0,0,0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
45,Oskar Buur,"DF,MF",21,0.0,0,0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
46,Leonardo Campana,FW,19,0.0,0,0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
47,Luke Cundle,MF,17,0.0,0,0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
48,Ryan John,ENG,"DF,MF",19.0,0,0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
49,Owen Otasowie,MF,18,0.0,0,0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
50,Taylor Perry,MF,18,0.0,0,0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
51,John Ruddy,GK,32,0.0,0,0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,
52,Squad Total,"3,420",90,100.0,38.0,418,86.0,97.0,19.0,187.0,1.55,51.0,40.0,11.0,0.29,54.1,38.0,16.1,,,,,,,,,,,,,,
53,Opponent Total,"3,420",90,100.0,38.0,418,86.0,116.0,22.0,167.0,1.08,40.0,51.0,-11.0,-0.29,38.0,54.1,-16.1,,,,,,,,,,,,,,
