Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
David Luiz,DF,32.0,31.2,1816.0,1697.0,110.0,107.0,12.0,23.0,5.0,3.0,0.0,0.0,0.0,0.0,1537.0,9.0,7.0,33.0,2809.0,32.0,30.0,1.0,3.0,1.4,47.0,38.0,0.4,40.5,46.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,2.0,1.6,1.6,0.9,21.0,106.0,4.0,23.0,8.0,20.4,7.0,0.4,331.0,1124.0,933.0,58.0,16.0,2106.0,8.0,5.0,3.0,1370.0,9179.0,5310.0,13.0,1.0,16.0,5.0,1451.0,1537.0,1816.0,33337.0,11723.0,379.0,421.0,889.0,938.0,254.0,413.0,1.2,4.0,100.0,9.0,2.0,0.0,30.0,14.0,1.0,32.0,16.0,0.0,5.0,0.0,128.0,51.0,41.0,12.0,8.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,13.0,24.0,11.0,42.0,37.0,5.0,133.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Sead Kola��inac,DF,26.0,18.9,1041.0,925.0,113.0,4.0,0.0,1.0,29.0,109.0,0.0,0.0,0.0,0.0,877.0,3.0,15.0,26.0,1701.0,19.0,14.0,7.0,3.0,1.6,28.0,26.0,-0.2,25.5,23.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.3,36.0,74.0,88.0,4.0,0.0,12.2,0.0,-0.4,61.0,361.0,570.0,281.0,29.0,1202.0,21.0,16.0,5.0,631.0,3253.0,2016.0,33.0,11.0,21.0,11.0,755.0,877.0,1041.0,12502.0,3694.0,516.0,565.0,301.0,367.0,30.0,52.0,1.2,10.0,46.0,13.0,4.0,0.0,20.0,16.0,5.0,25.0,16.0,0.0,0.0,0.0,103.0,27.0,19.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,5.0,12.0,23.0,11.0,14.0,4.0,10.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Sokratis Papastathopoulos,DF,31.0,18.8,1043.0,996.0,44.0,34.0,1.0,14.0,1.0,10.0,0.0,0.0,0.0,0.0,914.0,3.0,5.0,19.0,1696.0,19.0,18.0,0.0,13.0,1.5,27.0,25.0,-0.2,24.8,26.7,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,0.3,5.0,27.0,5.0,7.0,2.0,9.9,0.0,0.9,185.0,715.0,462.0,41.0,13.0,1215.0,5.0,5.0,0.0,739.0,3500.0,1966.0,3.0,0.0,4.0,5.0,859.0,914.0,1043.0,18075.0,6123.0,315.0,333.0,470.0,511.0,117.0,173.0,0.2,2.0,35.0,1.0,0.0,0.0,19.0,12.0,1.0,17.0,16.0,0.0,0.0,0.0,71.0,58.0,27.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,1.0,10.0,21.0,11.0,30.0,24.0,6.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Ainsley Maitland-Niles,DF,21.0,15.4,1025.0,839.0,185.0,19.0,2.0,4.0,18.0,166.0,0.0,0.0,0.0,0.0,841.0,1.0,11.0,20.0,1386.0,15.0,14.0,5.0,8.0,1.7,22.0,21.0,-0.2,19.3,22.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,1.5,38.0,61.0,34.0,4.0,1.0,18.0,0.0,-0.4,71.0,442.0,536.0,233.0,15.0,1203.0,34.0,19.0,15.0,596.0,3219.0,1917.0,23.0,9.0,17.0,18.0,744.0,841.0,1025.0,12850.0,4193.0,446.0,502.0,311.0,370.0,53.0,95.0,1.4,11.0,44.0,13.0,5.0,1.0,15.0,13.0,0.0,28.0,23.0,0.0,0.0,0.0,86.0,17.0,12.0,21.0,17.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,34.0,5.0,2.0,22.0,43.0,21.0,12.0,3.0,9.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5
Shkodran Mustafi,DF,27.0,13.4,848.0,825.0,22.0,21.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,693.0,1.0,11.0,15.0,1207.0,13.0,12.0,2.0,3.0,1.4,21.0,17.0,0.1,16.1,20.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.4,7.0,61.0,6.0,11.0,3.0,9.4,0.0,-0.9,112.0,471.0,491.0,30.0,15.0,988.0,3.0,3.0,0.0,629.0,3439.0,2160.0,4.0,0.0,4.0,1.0,680.0,693.0,848.0,14566.0,4890.0,172.0,212.0,424.0,469.0,94.0,144.0,0.1,3.0,48.0,1.0,1.0,0.0,14.0,3.0,0.0,18.0,10.0,0.0,0.0,0.0,42.0,65.0,21.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,5.0,1.0,6.0,12.0,6.0,10.0,6.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
H??ctor Beller??n,DF,24.0,12.9,711.0,583.0,126.0,14.0,0.0,3.0,27.0,112.0,0.0,0.0,0.0,0.0,575.0,2.0,30.0,15.0,1158.0,13.0,10.0,2.0,5.0,1.5,20.0,18.0,-0.1,15.5,20.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,34.0,58.0,70.0,7.0,2.0,16.9,0.0,0.6,34.0,251.0,388.0,211.0,22.0,846.0,31.0,18.0,13.0,435.0,2426.0,1446.0,24.0,5.0,14.0,12.0,505.0,575.0,711.0,8755.0,2624.0,294.0,327.0,251.0,299.0,14.0,28.0,0.8,3.0,39.0,7.0,2.0,0.0,15.0,3.0,1.0,19.0,13.0,0.0,0.0,0.0,54.0,13.0,16.0,16.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,2.0,11.0,29.0,18.0,20.0,4.0,16.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Calum Chambers,DF,24.0,12.2,915.0,818.0,95.0,12.0,0.0,6.0,34.0,83.0,0.0,0.0,0.0,0.0,732.0,2.0,16.0,14.0,1102.0,13.0,11.0,1.0,5.0,1.3,16.0,15.0,-0.2,15.2,11.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,1.6,16.0,45.0,67.0,12.0,2.0,12.0,0.0,0.2,116.0,467.0,406.0,199.0,27.0,1067.0,17.0,11.0,6.0,563.0,2500.0,1438.0,10.0,0.0,15.0,10.0,697.0,732.0,915.0,13541.0,4397.0,286.0,322.0,354.0,413.0,79.0,132.0,0.9,7.0,46.0,6.0,2.0,0.0,18.0,4.0,0.0,16.0,10.0,0.0,1.0,0.0,69.0,36.0,30.0,17.0,10.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,8.0,6.0,11.0,16.0,5.0,13.0,7.0,6.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5
Kieran Tierney,DF,22.0,11.0,571.0,478.0,90.0,7.0,0.0,2.0,44.0,83.0,0.0,0.0,0.0,0.0,426.0,3.0,11.0,15.0,989.0,12.0,6.0,3.0,4.0,1.5,18.0,16.0,0.0,12.4,19.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,1.0,26.0,34.0,67.0,6.0,2.0,20.6,0.0,0.8,40.0,227.0,261.0,196.0,14.0,676.0,15.0,12.0,3.0,355.0,1728.0,813.0,12.0,8.0,11.0,5.0,390.0,426.0,571.0,7168.0,2283.0,210.0,237.0,178.0,236.0,34.0,66.0,0.5,6.0,21.0,10.0,7.0,0.0,8.0,12.0,0.0,9.0,16.0,0.0,1.0,0.0,60.0,9.0,15.0,12.0,10.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,1.0,11.0,15.0,4.0,10.0,4.0,6.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Rob Holding,DF,23.0,6.5,354.0,343.0,9.0,8.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,307.0,2.0,1.0,8.0,581.0,6.0,5.0,2.0,10.0,1.6,11.0,9.0,0.1,8.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,3.0,16.0,1.0,2.0,0.0,0.0,0.0,-0.2,73.0,242.0,189.0,10.0,6.0,440.0,4.0,2.0,2.0,292.0,1320.0,707.0,2.0,0.0,4.0,2.0,310.0,307.0,354.0,6164.0,2025.0,95.0,104.0,174.0,185.0,37.0,60.0,0.1,0.0,13.0,2.0,0.0,0.0,4.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,22.0,16.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,10.0,6.0,4.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
Pablo Mar??,DF,25.0,1.3,100.0,99.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,2.0,113.0,2.0,1.0,0.0,0.0,1.5,1.0,0.0,0.6,1.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,53.0,59.0,2.0,0.0,114.0,0.0,0.0,0.0,70.0,476.0,294.0,0.0,0.0,0.0,0.0,83.0,85.0,100.0,1705.0,493.0,29.0,31.0,42.0,44.0,14.0,22.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
