Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Pierre-Emerick Aubameyang,FW,30.0,34.8,912.0,881.0,28.0,0.0,7.0,1.0,89.0,3.0,1.0,0.0,0.0,0.0,614.0,3.0,32.0,36.0,3136.0,35.0,31.0,1.0,0.0,1.5,51.0,44.0,-0.1,43.4,49.9,22.0,3.0,25.0,20.0,2.0,2.0,3.0,1.0,14.7,13.2,3.3,98.0,81.0,288.0,91.0,40.0,15.5,2.0,7.3,26.0,143.0,436.0,667.0,150.0,1231.0,38.0,17.0,21.0,727.0,4964.0,2702.0,47.0,38.0,58.0,31.0,928.0,614.0,912.0,8262.0,2061.0,373.0,461.0,169.0,277.0,25.0,54.0,4.1,26.0,25.0,47.0,16.0,0.0,14.0,20.0,20.0,14.0,19.0,0.0,0.0,0.0,92.0,33.0,58.0,69.0,48.0,0.0,6.0,7.0,6.0,2.0,12.0,8.0,0.0,0.0,2.0,1.0,1.0,10.0,12.0,9.0,12.0,51.0,39.0,39.0,1.0,38.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
David Luiz,DF,32.0,31.2,1816.0,1697.0,110.0,107.0,12.0,23.0,5.0,3.0,0.0,0.0,0.0,0.0,1537.0,9.0,7.0,33.0,2809.0,32.0,30.0,1.0,3.0,1.4,47.0,38.0,0.4,40.5,46.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,2.0,1.6,1.6,0.9,21.0,106.0,4.0,23.0,8.0,20.4,7.0,0.4,331.0,1124.0,933.0,58.0,16.0,2106.0,8.0,5.0,3.0,1370.0,9179.0,5310.0,13.0,1.0,16.0,5.0,1451.0,1537.0,1816.0,33337.0,11723.0,379.0,421.0,889.0,938.0,254.0,413.0,1.2,4.0,100.0,9.0,2.0,0.0,30.0,14.0,1.0,32.0,16.0,0.0,5.0,0.0,128.0,51.0,41.0,12.0,8.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,13.0,24.0,11.0,42.0,37.0,5.0,133.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Bernd Leno,GK,27.0,29.4,990.0,682.0,303.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,5.0,1.0,30.0,2649.0,30.0,29.0,0.0,0.0,1.3,40.0,39.0,-0.8,36.5,42.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,1055.0,6.0,0.0,0.0,1061.0,1.0,1.0,0.0,543.0,3095.0,2134.0,0.0,0.0,1.0,0.0,437.0,762.0,990.0,16550.0,10417.0,214.0,215.0,429.0,432.0,112.0,330.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,2.0,39.0,151.0,111.0,9.0,13.0,8.0,7.0,7.0,6.0,1.0,0.0,0.0,6.0,40.0,0.2,1.0,64.0,266.0,732.0,185.0,27.9,253.0,34.4,468.0,17.0,38.0,15.6,28.0
Granit Xhaka,MF,26.0,28.7,1944.0,1867.0,69.0,51.0,4.0,25.0,16.0,17.0,1.0,1.0,0.0,0.0,1695.0,8.0,19.0,31.0,2586.0,30.0,25.0,1.0,0.0,1.7,47.0,31.0,1.4,38.9,41.7,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.5,0.5,1.0,38.0,237.0,33.0,11.0,3.0,23.0,0.0,0.5,125.0,610.0,1292.0,305.0,19.0,2193.0,32.0,25.0,7.0,1285.0,6390.0,3316.0,28.0,2.0,28.0,12.0,1591.0,1695.0,1944.0,31542.0,8782.0,676.0,740.0,781.0,863.0,198.0,263.0,1.3,16.0,197.0,22.0,3.0,0.0,56.0,32.0,0.0,21.0,25.0,0.0,1.0,0.0,195.0,45.0,54.0,44.0,38.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,20.0,19.0,6.0,25.0,55.0,30.0,32.0,16.0,16.0,59.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Nicolas P??p??,FW,24.0,22.3,824.0,737.0,85.0,9.0,10.0,6.0,109.0,7.0,66.0,31.0,22.0,0.0,610.0,2.0,23.0,31.0,2010.0,22.0,11.0,9.0,6.0,1.6,38.0,30.0,0.4,29.8,34.6,5.0,6.0,11.0,4.0,1.0,1.0,4.0,0.0,4.9,4.1,4.8,98.0,67.0,191.0,49.0,17.0,20.0,7.0,0.1,10.0,135.0,394.0,620.0,86.0,1116.0,133.0,72.0,61.0,745.0,5947.0,3041.0,64.0,39.0,61.0,53.0,826.0,610.0,824.0,8817.0,2028.0,364.0,415.0,171.0,222.0,45.0,101.0,4.0,39.0,28.0,30.0,6.0,0.0,14.0,37.0,4.0,8.0,17.0,0.0,0.0,0.0,104.0,21.0,41.0,72.0,39.0,16.0,10.0,4.0,3.0,0.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,15.0,13.0,4.0,8.0,16.0,8.0,15.0,2.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
Alexandre Lacazette,FW,28.0,20.8,521.0,475.0,45.0,0.0,3.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,391.0,1.0,15.0,30.0,1874.0,22.0,9.0,8.0,4.0,1.3,36.0,25.0,0.7,27.4,29.6,10.0,4.0,14.0,10.0,0.0,0.0,8.0,0.0,8.1,8.1,2.9,21.0,49.0,137.0,52.0,26.0,12.6,3.0,1.9,21.0,91.0,332.0,347.0,101.0,761.0,47.0,24.0,23.0,433.0,2029.0,826.0,9.0,5.0,54.0,37.0,545.0,391.0,521.0,5362.0,1084.0,225.0,262.0,105.0,140.0,22.0,41.0,1.6,24.0,25.0,23.0,4.0,0.0,44.0,45.0,13.0,7.0,16.0,1.0,0.0,0.0,76.0,26.0,57.0,68.0,43.0,0.0,7.0,11.0,6.0,1.0,12.0,4.0,0.0,3.0,4.0,1.0,0.0,8.0,21.0,2.0,9.0,24.0,15.0,14.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
Bukayo Saka,FW,17.0,19.5,845.0,723.0,117.0,10.0,5.0,2.0,67.0,98.0,9.0,4.0,5.0,0.0,646.0,5.0,25.0,26.0,1753.0,19.0,10.0,7.0,6.0,1.4,22.0,18.0,0.0,20.6,26.5,1.0,5.0,6.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,3.3,67.0,67.0,143.0,13.0,4.0,17.9,0.0,0.0,35.0,250.0,409.0,395.0,59.0,1048.0,55.0,32.0,23.0,602.0,3892.0,2172.0,41.0,24.0,42.0,22.0,692.0,646.0,845.0,9418.0,2699.0,375.0,425.0,227.0,293.0,22.0,52.0,2.0,21.0,37.0,19.0,5.0,0.0,22.0,28.0,10.0,12.0,21.0,0.0,0.0,0.0,87.0,7.0,41.0,48.0,34.0,1.0,8.0,2.0,2.0,1.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,21.0,8.0,7.0,19.0,37.0,18.0,12.0,3.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Matt??o Guendouzi,MF,20.0,19.4,1170.0,1133.0,33.0,23.0,7.0,8.0,6.0,8.0,1.0,0.0,0.0,0.0,1027.0,4.0,20.0,24.0,1748.0,19.0,15.0,5.0,5.0,1.3,24.0,31.0,-1.2,23.9,28.7,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.8,0.8,1.1,50.0,160.0,27.0,11.0,5.0,22.2,0.0,-0.8,70.0,351.0,785.0,270.0,18.0,1385.0,43.0,24.0,19.0,864.0,5825.0,3157.0,38.0,10.0,20.0,21.0,1013.0,1027.0,1170.0,18529.0,5467.0,430.0,467.0,448.0,483.0,120.0,144.0,1.6,12.0,141.0,20.0,1.0,0.0,17.0,49.0,0.0,29.0,16.0,1.0,0.0,0.0,117.0,12.0,16.0,40.0,31.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,13.0,4.0,14.0,43.0,29.0,21.0,7.0,14.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Sead Kola��inac,DF,26.0,18.9,1041.0,925.0,113.0,4.0,0.0,1.0,29.0,109.0,0.0,0.0,0.0,0.0,877.0,3.0,15.0,26.0,1701.0,19.0,14.0,7.0,3.0,1.6,28.0,26.0,-0.2,25.5,23.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.3,36.0,74.0,88.0,4.0,0.0,12.2,0.0,-0.4,61.0,361.0,570.0,281.0,29.0,1202.0,21.0,16.0,5.0,631.0,3253.0,2016.0,33.0,11.0,21.0,11.0,755.0,877.0,1041.0,12502.0,3694.0,516.0,565.0,301.0,367.0,30.0,52.0,1.2,10.0,46.0,13.0,4.0,0.0,20.0,16.0,5.0,25.0,16.0,0.0,0.0,0.0,103.0,27.0,19.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,5.0,12.0,23.0,11.0,14.0,4.0,10.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Sokratis Papastathopoulos,DF,31.0,18.8,1043.0,996.0,44.0,34.0,1.0,14.0,1.0,10.0,0.0,0.0,0.0,0.0,914.0,3.0,5.0,19.0,1696.0,19.0,18.0,0.0,13.0,1.5,27.0,25.0,-0.2,24.8,26.7,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,0.3,5.0,27.0,5.0,7.0,2.0,9.9,0.0,0.9,185.0,715.0,462.0,41.0,13.0,1215.0,5.0,5.0,0.0,739.0,3500.0,1966.0,3.0,0.0,4.0,5.0,859.0,914.0,1043.0,18075.0,6123.0,315.0,333.0,470.0,511.0,117.0,173.0,0.2,2.0,35.0,1.0,0.0,0.0,19.0,12.0,1.0,17.0,16.0,0.0,0.0,0.0,71.0,58.0,27.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,1.0,10.0,21.0,11.0,30.0,24.0,6.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
