Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Pierre-Emerick Aubameyang,FW,30,34.8,912,881,28,0,7,1,89,3,1,0,0,0,614,3,32,36,3136,35,31,1,0,1.5,51,44,-0.12,43.4,49.9,22,3,25,20,2,2,3,1,14.7,13.2,3.3,98,81,288,91,40,15.5,2,7.3,26,143,436,667,150,1231,38,17,21,727,4964,2702,47,38,58,31,928,614,912,8262,2061,373,461,169,277,25,54,4.1,26,25,47,16,0,14,20,20,14,19,0,0,0,92,33,58,69,48,0,6,7,6,2,12,8,0,0,2,1,1,10,12,9,12,51,39,39,1,38,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Nicolas P??p??,FW,24,22.3,824,737,85,9,10,6,109,7,66,31,22,0,610,2,23,31,2010,22,11,9,6,1.55,38,30,0.36,29.8,34.6,5,6,11,4,1,1,4,0,4.9,4.1,4.8,98,67,191,49,17,20,7,0.1,10,135,394,620,86,1116,133,72,61,745,5947,3041,64,39,61,53,826,610,824,8817,2028,364,415,171,222,45,101,4,39,28,30,6,0,14,37,4,8,17,0,0,0,104,21,41,72,39,16,10,4,3,0,9,7,2,0,0,0,0,15,13,4,8,16,8,15,2,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Alexandre Lacazette,FW,28,20.8,521,475,45,0,3,6,15,0,0,0,0,0,391,1,15,30,1874,22,9,8,4,1.3,36,25,0.7,27.4,29.6,10,4,14,10,0,0,8,0,8.1,8.1,2.9,21,49,137,52,26,12.6,3,1.9,21,91,332,347,101,761,47,24,23,433,2029,826,9,5,54,37,545,391,521,5362,1084,225,262,105,140,22,41,1.6,24,25,23,4,0,44,45,13,7,16,1,0,0,76,26,57,68,43,0,7,11,6,1,12,4,0,3,4,1,0,8,21,2,9,24,15,14,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Bukayo Saka,FW,17,19.5,845,723,117,10,5,2,67,98,9,4,5,0,646,5,25,26,1753,19,10,7,6,1.42,22,18,-0.01,20.6,26.5,1,5,6,1,0,0,6,0,1,1,3.3,67,67,143,13,4,17.9,0,0,35,250,409,395,59,1048,55,32,23,602,3892,2172,41,24,42,22,692,646,845,9418,2699,375,425,227,293,22,52,2,21,37,19,5,0,22,28,10,12,21,0,0,0,87,7,41,48,34,1,8,2,2,1,7,6,0,1,0,0,0,21,8,7,19,37,18,12,3,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Eddie Nketiah,FW,20,7,141,128,13,1,2,0,1,0,0,0,0,0,105,0,2,13,633,7,2,6,1,1.85,8,8,-0.26,7.3,11.5,2,0,2,2,0,0,0,1,3.1,3.1,0.6,19,16,38,15,5,12.2,0,-1.1,8,23,110,88,29,218,17,10,7,153,866,396,5,5,21,15,169,105,141,1441,247,59,72,38,49,3,5,0.1,5,6,3,0,0,16,10,3,2,5,0,0,0,15,7,8,12,6,0,2,1,2,1,1,0,0,0,0,0,1,3,4,0,2,6,4,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Reiss Nelson,FW,19,7,232,214,18,3,0,1,24,1,14,6,5,0,186,0,7,17,631,7,1,10,10,1.71,9,7,0.09,7.6,10.6,1,0,1,1,0,0,1,0,0.9,0.9,0.4,30,20,58,11,4,17.4,0,0.1,4,44,135,149,26,318,32,17,15,210,1479,739,16,10,15,13,234,186,232,2759,727,107,118,55,65,14,24,0.8,9,9,8,1,0,8,8,4,3,8,0,0,0,30,0,5,20,11,4,2,3,0,0,1,0,0,0,1,0,0,5,4,2,7,17,10,13,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
Gabriel Martinelli,FW,18,7.4,140,137,2,1,1,1,22,1,0,0,0,0,82,1,8,14,663,6,5,8,10,1.21,7,9,-0.6,8.4,11.2,3,0,3,3,0,0,1,0,2.2,2.2,0.1,31,12,65,12,5,12.9,0,0.8,11,61,88,132,36,273,32,9,23,168,1409,770,15,13,29,12,181,82,140,1073,283,54,79,20,37,4,7,0.2,2,3,5,0,0,9,10,2,3,15,0,0,0,34,7,35,8,5,0,0,1,1,1,0,0,0,0,0,0,0,10,6,4,7,20,13,15,1,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Pierre-Emerick Aubameyang,FW,29,30.3,744,701,37,0,3,1,43,3,0,0,0,0,524,6,28,36,2726,30,19,6,0,1.86,58,42,-0.25,50.4,44.3,22,5,27,18,4,5,0,0,22.6,18.5,4.2,82,70,228,89,34,14.2,0,-0.6,17,83,417,560,142,1043,55,29,26,609,3920,2078,45,30,61,33,816,524,744,5972,1550,353,430,94,153,13,27,3.5,33,30,33,4,0,13,23,23,8,17,1,0,0,66,32,83,60,42,0,7,5,5,1,11,6,0,1,2,2,0,6,9,6,8,28,20,26,0,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Alexandre Lacazette,FW,27,27.8,807,753,52,0,10,4,29,5,0,0,0,0,581,2,39,35,2502,27,18,8,2,1.74,51,31,0.52,40.1,38.3,13,8,21,13,0,0,2,0,11.7,11.7,3.7,45,92,265,81,28,14.4,1,1.3,32,92,433,639,178,1149,69,46,23,649,3180,1197,30,22,69,61,886,581,807,6935,1895,351,442,117,166,24,43,3.4,31,36,39,3,0,51,54,24,15,16,1,0,0,73,46,93,84,55,0,16,6,5,2,15,10,0,3,1,1,0,6,19,10,5,28,23,27,1,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Alex Iwobi,FW,22,21.9,1028,1006,17,1,3,10,57,15,1,0,0,0,767,5,34,35,1970,22,7,13,1,1.83,42,32,-0.29,37.8,30.9,3,6,9,3,0,0,0,0,3.5,3.5,7,132,141,234,35,14,15.8,0,-0.5,16,136,523,651,111,1297,85,46,39,895,6277,3756,82,52,69,56,1065,767,1028,11207,3123,442,515,259,332,37,81,5.6,40,53,65,8,0,8,13,2,12,14,0,0,0,90,4,21,84,77,1,3,3,0,0,11,11,0,0,0,0,0,10,16,2,6,25,19,21,1,20,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
