Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Bernd Leno,GK,27,29.4,990,682,303,50,0,0,0,0,0,0,0,0,762,5,1,30,2649,30,29,0,0,1.33,40,39,-0.78,36.5,42.7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,950,1055,6,0,0,1061,1,1,0,543,3095,2134,0,0,1,0,437,762,990,16550,10417,214,215,429,432,112,330,0,0,2,0,0,0,0,4,0,0,0,0,0,0,37,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,9,2,39,151,111,9,13,8,7,7,6,1,0,0,6,40,0.22,1,64,266,732,185,27.9,253,34.4,468,17,38,15.6,28
Emiliano Mart??nez,GK,26,8.6,293,214,79,18,0,0,0,0,0,0,0,0,212,0,1,9,771,8,8,1,29,1.78,16,9,0.78,10.5,12.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,271,308,1,0,0,309,0,0,0,183,931,619,0,0,0,0,136,212,293,5094,3181,58,58,107,110,41,118,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,42,33,5,1,2,3,1,1,0,0,0,3,11.8,0.26,2.8,28,98,232,48,31.4,61,40.2,138,8,4,13.2,8
Bernd Leno,GK,26,31.5,1105,773,330,103,0,4,0,0,0,0,0,0,817,2,2,32,2836,31,31,1,6,1.81,61,42,0.14,51.6,46.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1035,1181,7,0,0,1188,0,0,0,605,3693,2501,0,0,0,1,514,817,1105,21776,14746,149,150,437,440,226,505,0,0,3,0,0,0,0,5,0,4,0,0,0,0,59,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,16,6,42,145,104,16,7,8,7,7,7,0,0,1,3,44.3,0.27,3.3,127,385,876,181,31.5,227,45.3,385,10,40,15.3,30
Aaron Ramsdale,GK,23,34,1178,913,261,78,0,4,0,2,0,0,0,0,795,4,4,34,3060,34,34,0,2,1.94,60,39,2.62,57.4,36.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,927,1245,15,0,0,1258,1,1,0,807,4165,2486,0,0,1,0,630,795,1178,20520,14378,196,199,394,404,203,566,0,0,26,0,0,0,0,5,0,0,1,0,0,0,40,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,26,3,39,128,90,21,3,10,12,6,5,0,1,0,3,38.2,0.26,0.2,134,480,993,162,33.2,181,55.1,414,26,60,16.4,28
Bernd Leno,GK,29,4,115,71,43,6,0,0,0,0,0,0,0,0,76,1,0,4,360,4,4,0,29,0.75,1,9,-2.62,3.1,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,125,0,0,0,125,0,0,0,61,326,179,0,0,0,0,49,76,115,2214,1594,18,18,28,28,29,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,9,19,10,1,0,3,1,0,0,0,0,0,0,9.4,0.5,0.4,17,53,77,13,33.8,37,50.4,73,6,1,7.3,9
Aaron Ramsdale,GK,24,38,1111,872,237,83,0,6,0,1,0,0,0,0,761,2,3,38,3420,38,38,0,0,2.21,88,43,0,71.9,42,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,872,1170,28,0,0,1196,1,1,0,722,3934,2459,1,0,0,0,629,761,1111,18974,13109,190,196,383,390,186,519,0,0,30,2,0,0,0,4,0,0,1,0,0,0,33,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,20,6,43,136,94,26,6,6,14,5,3,0,2,0,6,40,0.28,-2,109,429,956,174,33.3,153,49.2,381,22,43,16.1,40
Tom Heaton,GK,33,19.9,628,350,276,81,0,0,0,0,0,0,0,0,371,2,0,20,1794,20,19,0,0,1.05,26,35,0.49,25.4,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,668,12,1,0,681,0,0,0,259,1861,1376,0,0,2,0,203,371,628,11773,9472,61,61,176,180,133,383,0,0,7,0,0,0,1,2,0,0,2,0,1,1,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,1,0,0,0,6,0,35,102,68,6,3,11,4,3,3,0,0,1,7,28.4,0.26,-5.6,112,358,431,99,39.5,195,50.5,379,11,13,12.1,4.8
Pepe Reina,GK,36,12,399,253,143,49,0,3,0,0,0,0,0,0,281,3,0,12,1080,12,12,0,4,1,11,20,-0.1,12.1,19.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,370,426,7,0,0,433,0,0,0,195,1258,757,0,0,1,0,166,281,399,9063,7064,36,36,112,115,132,244,0,1,4,0,0,0,1,4,0,0,0,0,0,0,11,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,9,1,20,53,32,3,3,6,2,3,2,1,0,0,2,14.7,0.22,-5.3,95,202,302,51,37.2,94,42.6,168,8,14,16.1,0.65
Ørjan Nyland,GK,28,6,182,108,73,20,0,1,0,0,0,0,0,0,105,1,0,7,539,5,5,2,20,0.71,4,12,-0.77,6.7,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,162,187,4,0,0,191,0,0,0,91,680,445,0,0,1,0,70,105,182,3547,2893,8,9,52,55,45,117,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,27,15,0,2,3,1,0,0,0,0,0,0,8.5,0.31,-3.5,33,104,128,29,40,53,57.1,80,4,1,9.9,1.2
Emiliano Martínez,GK,27,38,1319,923,388,135,0,1,0,0,0,0,0,0,880,8,0,38,3420,38,38,0,0,1.45,55,46,0,52.5,51.1,0,0,0,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,1172,1389,15,0,0,1404,0,0,0,779,4456,3037,0,0,1,0,593,880,1319,26950,20290,131,133,424,431,324,745,0,2,26,1,0,0,1,8,0,2,3,0,0,0,28,11,2,5,5,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,3,4,1,0,0,0,10,2,46,186,133,16,7,15,15,6,5,1,0,2,4,49.2,0.24,4.2,247,639,1058,177,37.1,253,47,613,42,34,14.2,35
