Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Granit Xhaka,MF,26,28.7,1944,1867,69,51,4,25,16,17,1,1,0,0,1695,8,19,31,2586,30,25,1,0,1.65,47,31,1.42,38.9,41.7,1,2,3,1,0,0,10,0,0.5,0.5,1,38,237,33,11,3,23,0,0.5,125,610,1292,305,19,2193,32,25,7,1285,6390,3316,28,2,28,12,1591,1695,1944,31542,8782,676,740,781,863,198,263,1.3,16,197,22,3,0,56,32,0,21,25,0,1,0,195,45,54,44,38,2,1,1,2,0,3,2,0,0,0,1,0,20,19,6,25,55,30,32,16,16,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Matt??o Guendouzi,MF,20,19.4,1170,1133,33,23,7,8,6,8,1,0,0,0,1027,4,20,24,1748,19,15,5,5,1.29,24,31,-1.17,23.9,28.7,0,1,1,0,0,0,6,0,0.8,0.8,1.1,50,160,27,11,5,22.2,0,-0.8,70,351,785,270,18,1385,43,24,19,864,5825,3157,38,10,20,21,1013,1027,1170,18529,5467,430,467,448,483,120,144,1.6,12,141,20,1,0,17,49,0,29,16,1,0,0,117,12,16,40,31,0,1,3,4,1,2,1,0,0,0,1,0,14,13,4,14,43,29,21,7,14,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Dani Ceballos,MF,22,18.8,1329,1220,106,38,6,20,70,5,63,23,12,2,1114,3,20,24,1692,18,6,6,4,1.75,29,21,0.43,21.6,27.4,0,2,2,0,0,0,1,0,0.6,0.6,1.8,60,174,38,13,3,22.8,0,-0.6,50,320,807,403,21,1510,36,27,9,1012,6703,3681,52,8,25,30,1089,1114,1329,19951,5446,482,523,479,531,121,202,2,28,120,29,2,0,19,35,0,32,23,0,0,0,153,9,24,56,38,10,2,1,3,2,7,5,1,0,0,0,1,26,14,5,18,61,43,14,3,11,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Mesut ??zil,MF,30,16,913,818,90,33,2,3,72,0,57,25,23,1,758,5,17,18,1438,18,7,0,4,1.33,24,20,0.07,19.4,21.9,1,2,3,1,0,0,1,0,1.4,1.4,2.3,48,114,136,9,3,14.2,0,-0.4,7,103,465,450,38,1009,22,16,6,591,3833,1797,39,4,25,22,797,758,913,11455,3088,414,442,257,295,54,100,2.3,37,63,25,0,0,14,18,6,5,8,0,0,0,71,1,4,75,51,18,3,2,1,0,8,7,1,0,0,0,0,9,7,1,4,23,19,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Lucas Torreira,MF,23,16.8,919,884,33,19,2,4,12,2,12,6,3,0,798,2,7,29,1512,17,8,12,4,1.48,23,23,-0.38,19.5,24.9,1,1,2,1,0,0,7,0,1.4,1.4,0.8,13,83,20,21,6,18.8,0,-0.4,55,286,629,188,25,1094,23,17,6,605,3024,1280,14,3,18,9,719,798,919,14097,3578,314,348,400,439,59,82,1,15,52,5,0,0,24,43,0,34,16,0,0,0,107,10,21,34,26,3,2,2,1,0,2,2,0,0,0,0,0,11,15,5,16,39,23,24,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Joe Willock,MF,19,9.5,359,346,8,0,2,5,9,2,5,0,0,0,287,5,7,29,857,8,1,21,6,1.34,16,16,-0.28,13.1,16.9,1,1,2,1,0,0,2,0,1.6,1.6,1.1,39,41,51,15,4,16.7,0,-0.6,27,91,246,171,35,498,32,21,11,317,2210,1247,24,11,29,18,331,287,359,4611,1347,143,169,118,130,17,33,0.6,12,34,8,2,0,10,13,0,4,16,0,0,0,62,8,14,31,25,0,3,1,1,1,3,3,0,0,0,0,0,9,12,4,8,21,13,16,2,14,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Granit Xhaka,MF,25,27.8,2425,2184,228,95,5,30,129,38,95,38,39,0,1981,13,32,29,2498,29,25,0,2,1.86,54,37,0.12,45.9,39.5,4,2,6,4,0,0,10,0,2,2,3.4,37,258,34,29,11,26.5,7,2,99,588,1627,488,9,2691,14,7,7,1421,6427,3288,28,2,17,17,1858,1981,2425,35961,10942,869,959,809,929,245,416,3.5,40,225,37,9,0,45,52,1,36,29,0,2,0,207,50,41,80,60,20,0,0,0,0,5,1,4,0,0,0,0,29,20,3,24,59,35,35,9,26,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Lucas Torreira,MF,22,26.5,1632,1557,68,38,2,10,28,7,23,5,6,1,1405,7,24,34,2382,24,20,10,0,1.79,55,38,0.21,41,38,2,2,4,2,0,0,7,1,1.5,1.5,1.2,28,140,35,25,6,23.1,2,0.5,76,389,1206,340,23,1914,21,13,8,1089,5115,2387,25,5,32,28,1276,1405,1632,23340,6020,632,705,610,664,101,153,1.6,16,93,17,1,0,38,77,0,41,39,0,0,0,220,20,26,49,31,7,2,1,7,1,9,5,2,0,0,2,0,24,32,9,25,57,32,34,7,27,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Matt??o Guendouzi,MF,19,23.9,1625,1578,41,33,9,12,15,6,2,0,0,0,1409,6,33,33,2149,23,19,10,4,1.73,47,32,0.13,38.1,32.9,0,0,0,0,0,0,9,0,0.6,0.6,1.8,71,200,50,16,4,24.4,0,-0.6,42,337,1152,362,14,1836,32,23,9,1223,8161,4177,49,5,30,31,1389,1409,1625,24166,6699,647,707,590,648,129,170,2.4,17,142,23,1,0,24,62,0,30,26,0,0,0,167,18,24,60,52,0,5,1,0,2,1,1,0,0,0,0,0,18,23,3,17,47,30,28,5,23,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Mesut ??zil,MF,29,19.3,1177,1092,75,28,7,2,42,7,38,8,9,1,1016,10,14,24,1735,20,10,4,3,1.75,35,24,-0.02,29.6,26.2,5,2,7,5,0,0,2,0,1.7,1.7,4.1,75,146,174,11,6,13.7,0,3.3,7,91,609,616,60,1306,33,21,12,920,5516,2653,63,13,49,34,1093,1016,1177,14421,3797,593,656,293,328,60,87,5,45,104,47,8,0,10,22,10,4,5,0,0,0,82,5,12,84,68,13,2,1,0,0,9,8,0,0,1,0,0,6,3,3,3,21,18,10,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
