,0,1,2018,2019,2020,2021,2022,2023
0,Ederson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/238223,50,70,56,50,45,40
1,Aymeric Laporte,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/176553,50,75,60,45,45,25
2,Bernardo Silva,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/241641,50,100,80,70,80,80
3,Raheem Sterling,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/134425,90,140,128,90,70,55
4,Sergio Ag?¨ero,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/26399,80,65,52,18,,
5,Kyle Walker,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/95424,50,50,40,28,18,13
6,David Silva,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/35518,30,20,12,,,
7,Fernandinho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/26267,15,12,8,2,1.5,
8,é¯lkay G?¨ndoé?an,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/53622,40,50,40,40,25,20
9,Leroy San??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/192565,90,100,80,,,
10,John Stones,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/186590,50,60,36,30,28,40
11,Riyad Mahrez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/171424,50,60,48,42,35,20
12,Nicol?≠s Otamendi,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/54781,35,25,14.5,,,
13,Oleksandr Zinchenko,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/203853,7,20,24,28,25,42
14,Vincent Kompany,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/9594,10,8,,,,
15,Kevin De Bruyne,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/88755,150,130,120,100,85,70
16,Benjamin Mendy,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/157495,40,35,28,20,,
17,Danilo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/145707,20,20,,,,
18,Gabriel Jesus,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/363205,80,70,56,60,50,75
19,Fabian Delph,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/50362,15,15,12,3.5,1.8,
20,Phil Foden,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/406635,7,25,27,80,90,110
21,Claudio Bravo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/40423,3.5,2.5,1.2,,,
22,Eliaquim Mangala,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/90681,15,10,,,,
23,Yaya Tour??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/13091,2.5,,,,,
24,Tosin Adarabioyo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/258878,,,,12,15,16
25,Rodri,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/357565,64,70,80,90,,
26,Jo?úo Cancelo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/182712,36,55,65,,,
27,David de Gea,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/59377,70,65,40,18,15,13
28,Nemanja Matié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/74683,40,30,16,8,5,
29,Romelu Lukaku,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/96341,100,75,70,,,
30,Antonio Valencia,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/33544,8,5,,,,
31,Chris Smalling,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/103427,18,20,,,,
32,Ashley Young,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/14086,7,5,,,1,0.6
33,Paul Pogba,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/122153,90,100,80,60,48,
34,Phil Jones,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/117996,20,20,7,5,3,1.5
35,Juan Mata,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/44068,30,20,9.5,4,2.5,
36,Jesse Lingard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/141660,40,40,17.5,22,18,8
37,Anthony Martial,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/182877,65,60,48,45,,15
38,Marcus Rashford,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/258923,65,80,80,85,60,80
39,Victor Lindel??f,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/184573,25,35,28,24,22,18
40,Ander Herrera,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/99343,30,25,,,,
41,Alexis S?≠nchez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/40433,70,35,,,,
42,Eric Bailly,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/286384,35,25,17.5,15,6,
43,Henrikh Mkhitaryan,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/55735,35,25,,,,
44,Luke Shaw,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/183288,15,30,22,35,38,42
45,Marcos Rojo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/93176,18,12,,,,
46,Scott McTominay,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/315969,7,12,22.5,35,32,25
47,Marouane Fellaini,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/39679,12,,,,,
48,Daley Blind,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/12282,18,,,,,
49,Sergio Romero,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/30690,5,3.5,2.8,1,,
50,Christian Eriksen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/69633,80,100,,,20,22
51,Hugo Lloris,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/17965,30,25,14.5,9,7,3
52,Jan Vertonghen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/43250,32,28,14.5,,,
53,Harry Kane,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/132098,150,150,120,120,90,90
54,Dele Alli,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/207929,100,90,64,30,16,
55,Eric Dier,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/175722,40,40,20,22,28,18
56,Davinson S?≠nchez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/341429,40,55,48,32,28,15
57,Son Heung-min,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/91845,50,80,64,85,75,50
58,Ben Davies,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/192765,25,25,17.5,16,20,15
