Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ezri Konsa,DF,24,38,37,"3,322",36.9,0,0,0,0,0,0,6,0,1.1,1.1,1.3,2.3,7,56,11,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
Emiliano Martínez,GK,29,36,36,"3,139",34.9,0,0,0,0,0,0,7,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Ollie Watkins,FW,26,37,36,"3,127",34.7,15,6,21,14,1,2,4,0,16.5,14.9,3.8,18.7,50,39,196,0.43,0.17,0.60,0.40,0.58,0.47,0.11,0.58,0.43,0.54
Tyrone Mings,DF,29,35,35,"3,150",35.0,1,2,3,1,0,0,7,0,1.2,1.2,1.4,2.6,20,111,7,0.03,0.06,0.09,0.03,0.09,0.03,0.04,0.07,0.03,0.07
Douglas Luiz,MF,24,37,33,"2,927",32.5,6,6,12,6,0,0,6,1,2.8,2.8,4.4,7.2,48,148,35,0.18,0.18,0.37,0.18,0.37,0.09,0.14,0.22,0.09,0.22
Jacob Ramsey,"MF,FW",21,35,31,"2,636",29.3,6,7,13,6,0,0,5,0,5.0,5.0,5.1,10.1,94,98,119,0.20,0.24,0.44,0.20,0.44,0.17,0.17,0.34,0.17,0.34
John McGinn,"MF,FW",27,34,30,"2,693",29.9,1,3,4,1,0,0,7,0,2.4,2.4,2.6,5.0,34,140,66,0.03,0.10,0.13,0.03,0.13,0.08,0.09,0.17,0.08,0.17
Emi Buendía,"MF,FW",25,38,27,"2,412",26.8,5,2,7,5,0,0,0,0,6.3,6.3,5.7,12.0,60,138,137,0.19,0.07,0.26,0.19,0.26,0.24,0.21,0.45,0.24,0.45
Leon Bailey,"FW,MF",24,33,26,"1,967",21.9,4,4,8,4,0,0,4,0,5.3,5.3,4.8,10.1,85,28,182,0.18,0.18,0.37,0.18,0.37,0.24,0.22,0.46,0.24,0.46
Ashley Young,DF,37,29,23,"2,036",22.6,1,0,1,1,0,0,7,0,0.5,0.5,1.0,1.4,29,107,33,0.04,0.00,0.04,0.04,0.04,0.02,0.04,0.06,0.02,0.06
Boubacar Kamara,MF,22,24,21,"1,777",19.7,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1.0,16,84,8,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05
Matty Cash,DF,24,26,20,"1,820",20.2,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,42,75,57,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05
Lucas Digne,DF,29,28,18,"1,502",16.7,1,0,1,1,0,0,5,0,0.4,0.4,1.9,2.3,29,57,89,0.06,0.00,0.06,0.06,0.06,0.02,0.11,0.14,0.02,0.14
Álex Moreno,DF,29,19,14,"1,329",14.8,0,3,3,0,0,0,3,0,0.6,0.6,3.0,3.7,65,37,122,0.00,0.20,0.20,0.00,0.20,0.04,0.21,0.25,0.04,0.25
Danny Ings,FW,30,18,8,824,9.2,6,0,6,4,2,2,3,0,5.3,3.8,1.2,5.0,15,12,46,0.66,0.00,0.66,0.44,0.44,0.59,0.13,0.71,0.41,0.54
